analysis_label,cohort,comparison,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,valid_replicates
post hoc exploratory benchmark,HANCOCK,C3_vs_B6,difference_ipcw_brier,-0.0025666191306013414,-0.002786199135512188,-0.006832964404669814,0.00240113982399824,1000
post hoc exploratory benchmark,HANCOCK,C3_vs_B6,difference_harrell_c,0.007540744344441741,0.0075560033447417685,-0.004849131577920693,0.02036595431209426,1000
post hoc exploratory benchmark,HANCOCK,C3_vs_B6,difference_uno_c,0.005837489995459522,0.005469826008706491,-0.007553211324858618,0.017753673034746578,1000
post hoc exploratory benchmark,HANCOCK,C3_vs_B6,difference_auc_horizon,0.005740312935209713,0.005584916661389494,-0.008653028267085874,0.019828426924192653,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B5,difference_ipcw_brier,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B5,difference_harrell_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B5,difference_uno_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B5,difference_auc_horizon,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B6,difference_ipcw_brier,-0.0001826401468113109,-0.00023226527913936673,-0.003675525226882298,0.0034894265335491457,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B6,difference_harrell_c,-0.007054244709316482,-0.007016451138888435,-0.01756992122456719,0.004801681893707693,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B6,difference_uno_c,-0.007391214222261855,-0.007253298544838693,-0.018821725196940694,0.004231270483773566,1000
post hoc exploratory benchmark,HANCOCK,C4_vs_B6,difference_auc_horizon,-0.0064420286698061435,-0.006577646350647504,-0.021190899723688116,0.008177809307698609,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B5,difference_ipcw_brier,-0.03341001162887233,-0.033364398446481675,-0.05772056364880315,-0.008525018511293433,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B5,difference_harrell_c,0.014745084971676037,0.012921091486472358,-0.06372117853890334,0.09148770706423384,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B5,difference_uno_c,0.0149057470619961,0.015137613703052999,-0.08012093065643124,0.11237957671489861,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B5,difference_auc_horizon,0.026470794461123104,0.026566244417689622,-0.07868375647672429,0.13348235780509946,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B6,difference_ipcw_brier,-0.024848583250993456,-0.0248763766904688,-0.048397223610023875,-0.0013057071764784242,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B6,difference_harrell_c,0.01866044651782739,0.018027261409761686,-0.061684345850477135,0.09812631063011013,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B6,difference_uno_c,0.01968140789011419,0.02060106639252035,-0.07651392868050919,0.11828789811070957,1000
post hoc exploratory benchmark,GSE65858,C1_vs_B6,difference_auc_horizon,0.032368222105076505,0.03381708377898279,-0.07578122443681326,0.13862190826900192,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B5,difference_ipcw_brier,0.06176497508495438,0.06233219590770389,0.03222142026470812,0.08893124226514541,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B5,difference_harrell_c,0.03940353215594794,0.038418000730510105,-0.028306902408396957,0.1042140701732605,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B5,difference_uno_c,0.02649855336799045,0.02629610153813683,-0.052520597093921664,0.10284816119373898,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B5,difference_auc_horizon,0.04473557130614625,0.04419430670843033,-0.0438310579467472,0.12781612056400504,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B6,difference_ipcw_brier,0.07032640346283325,0.07118525574615069,0.04054450193962335,0.09847767069751834,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B6,difference_harrell_c,0.04331889370209929,0.042869967679769805,-0.02337056663509677,0.10853562679517963,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B6,difference_uno_c,0.03127421419610854,0.031768827106648856,-0.048349176163320726,0.11072973676232999,1000
post hoc exploratory benchmark,GSE65858,C2_vs_B6,difference_auc_horizon,0.05063299895009965,0.05081859950576767,-0.03853251032265222,0.1395442071283069,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B5,difference_ipcw_brier,-0.07611487841319484,-0.07585731483319655,-0.09991904532390476,-0.05300116747225254,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B5,difference_harrell_c,0.0289903365544818,0.029196866627801132,-0.003925981219296448,0.068384085024175,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B5,difference_uno_c,0.03166656325119832,0.03202048507428029,-0.010838416235624109,0.07740761158036233,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B5,difference_auc_horizon,0.03781957843813244,0.03825646979062619,-0.01222786563114826,0.0894991499952745,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B6,difference_ipcw_brier,-0.06755345003531596,-0.06766093070246484,-0.09042887989588014,-0.045850628794591994,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B6,difference_harrell_c,0.03290569810063315,0.0333515498844254,-0.005851886385653052,0.07632303575675779,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B6,difference_uno_c,0.03644222407931641,0.03682845068398222,-0.014145973565977684,0.08827749576331363,1000
post hoc exploratory benchmark,GSE65858,C3_vs_B6,difference_auc_horizon,0.04371700608208584,0.0450349457591005,-0.013226329531264501,0.1037761461528217,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B5,difference_ipcw_brier,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B5,difference_harrell_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B5,difference_uno_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B5,difference_auc_horizon,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B6,difference_ipcw_brier,0.008561428377878877,0.008588312319178532,0.005572549151218143,0.011342193381606282,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B6,difference_harrell_c,0.0039153615461513525,0.004181591238570759,-0.0047991927856086665,0.012832634307456948,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B6,difference_uno_c,0.004775660828118089,0.005014962314902116,-0.00569450221267101,0.015567671748338726,1000
post hoc exploratory benchmark,GSE65858,C4_vs_B6,difference_auc_horizon,0.005897427643953401,0.006074425544383311,-0.005965043071290177,0.01784665027795647,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B5,difference_ipcw_brier,-0.026482028158808346,-0.027347552800608327,-0.0697337759609113,0.010128310923411762,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B5,difference_harrell_c,0.046131805157593075,0.04819109640388691,-0.0341546150250713,0.12926200023587686,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B5,difference_uno_c,0.06730148112566847,0.06866537420380886,-0.01849256894277789,0.16428792169762801,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B5,difference_auc_horizon,0.08182260344058045,0.08427936910099221,-0.017794572484065404,0.1903405254318651,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B6,difference_ipcw_brier,-0.021033155482922283,-0.021846345748003662,-0.060462718803259784,0.012487444116649584,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B6,difference_harrell_c,0.04899713467048705,0.050860228522121576,-0.03332077974486578,0.1309056898660261,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B6,difference_uno_c,0.07214350127271851,0.07484486571818438,-0.015255301344070661,0.16832761860450268,1000
post hoc exploratory benchmark,GSE41613,C1_vs_B6,difference_auc_horizon,0.08723060575305985,0.08923762774885974,-0.015507770752634984,0.195376322393142,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B5,difference_ipcw_brier,-0.031324126388493134,-0.03165496642346159,-0.062498041685236906,-0.0002765953612280848,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B5,difference_harrell_c,0.012034383954154682,0.012896825396825462,-0.05867819887138122,0.08196150790952748,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B5,difference_uno_c,0.03429075878511878,0.0358159291330874,-0.03744558913387285,0.11322911649359978,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B5,difference_auc_horizon,0.03970061667706304,0.04139836001065919,-0.04558487246111219,0.13356421625390905,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B6,difference_ipcw_brier,-0.02587525371260707,-0.026213202645372843,-0.05522927451895333,0.0025014980479055645,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B6,difference_harrell_c,0.014899713467048659,0.015889649857038612,-0.056010476254738845,0.08471199217704496,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B6,difference_uno_c,0.03913277893216882,0.041734453289654416,-0.03426295112979254,0.11604624810263515,1000
post hoc exploratory benchmark,GSE41613,C2_vs_B6,difference_auc_horizon,0.04510861898954244,0.04695931923254987,-0.043970049821986074,0.13606710189644736,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B5,difference_ipcw_brier,-0.022071837400086836,-0.023113351832718426,-0.05525748027788713,0.0057763300774818305,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B5,difference_harrell_c,-0.0011461318051575464,-0.0015973606678960084,-0.0207519951838269,0.0183092615405319,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B5,difference_uno_c,-0.001574641883827832,-0.0019754203127666514,-0.0248723664748089,0.0205362646371746,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B5,difference_auc_horizon,-0.0022208851041178868,-0.002831386332607433,-0.029637000930186484,0.02425369046361439,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B6,difference_ipcw_brier,-0.016622964724200773,-0.01761530256204963,-0.0470482374023217,0.0082774004284894,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B6,difference_harrell_c,0.0017191977077364307,0.0012382115020860285,-0.01636464863710555,0.017847997440877224,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B6,difference_uno_c,0.0032673782632222093,0.0029747385668351667,-0.017061190292228832,0.02261091355934264,1000
post hoc exploratory benchmark,GSE41613,C3_vs_B6,difference_auc_horizon,0.003187117208361512,0.0028137959380951094,-0.021115295856416475,0.0279562726917539,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B5,difference_ipcw_brier,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B5,difference_harrell_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B5,difference_uno_c,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B5,difference_auc_horizon,0.0,0.0,0.0,0.0,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B6,difference_ipcw_brier,0.005448872675886063,0.005269188344511816,0.0009976173109890452,0.010085098711798761,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B6,difference_harrell_c,0.002865329512893977,0.0024586816549637125,-0.008290347574412557,0.013004576118833874,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B6,difference_uno_c,0.004842020147050041,0.004719963262697191,-0.007736923452027419,0.018201194496336313,1000
post hoc exploratory benchmark,GSE41613,C4_vs_B6,difference_auc_horizon,0.0054080023124793986,0.005048945768267199,-0.008173561593583286,0.0203112679383233,1000
