candidate,family,gamma,seed,outer_fold,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable,beta_effective_min
global_intercept_shrinkage_g0.25,global_intercept_shrinkage,0.25,29,3,0.13091801219732,0.13101764223879497,9.963004147497956e-05,-0.12289516238893762,-0.13324852280113256,0.010353360412194937,0.4126275028337805,0.4131461232994289,-0.0005186204656484339,99,16,1.0
global_intercept_shrinkage_g0.50,global_intercept_shrinkage,0.5,29,3,0.13091801219732,0.1311211851454713,0.00020317294815130893,-0.12289516238893762,-0.14360188316680114,0.02070672077786352,0.4126275028337805,0.4126286214223173,-1.1185885369080495e-06,99,16,1.0
global_intercept_shrinkage_g0.75,global_intercept_shrinkage,0.75,29,3,0.13091801219732,0.13122869351171035,0.0003106813143903542,-0.12289516238893762,-0.15395524348325043,0.03106008109431281,0.4126275028337805,0.41261061253966075,1.6890294119775717e-05,99,16,1.0
global_intercept_shrinkage_g1.00,global_intercept_shrinkage,1.0,29,3,0.13091801219732,0.13134022018821556,0.0004222079908955678,-0.12289516238893762,-0.164308603750151,0.041413441361213374,0.4126275028337805,0.41254111651995273,8.638631382773543e-05,99,16,1.0
global_slope_shrinkage_g0.10,global_slope_shrinkage,0.1,29,3,0.13091801219732,0.13090370034708043,-1.4311850239562274e-05,-0.12289516238893762,-0.13441925563593876,0.011524093247001141,0.4126275028337805,0.41599488873525114,-0.0033673859014706764,99,16,0.9918661441081564
global_slope_shrinkage_g0.25,global_slope_shrinkage,0.25,29,3,0.13091801219732,0.1308900110337889,-2.8001163531105044e-05,-0.12289516238893762,-0.151738438465962,0.028843276077024374,0.4126275028337805,0.42116451164415597,-0.008537008810375557,99,16,0.9796653602703911
global_slope_shrinkage_g0.50,global_slope_shrinkage,0.5,29,3,0.13091801219732,0.13088921861927794,-2.8793578042057844e-05,-0.12289516238893762,-0.18069272395440966,0.05779756156547204,0.4126275028337805,0.4302011156218163,-0.01757361278803582,99,16,0.9593307205407822
global_slope_shrinkage_g0.75,global_slope_shrinkage,0.75,29,3,0.13091801219732,0.1309181429385894,1.307412693940524e-07,-0.12289516238893762,-0.2097611096219976,0.08686594723305997,0.4126275028337805,0.4395142709595045,-0.026886768125724103,99,16,0.9389960808111731
global_slope_shrinkage_g1.00,global_slope_shrinkage,1.0,29,3,0.13091801219732,0.13097946271003896,6.145051271896906e-05,-0.12289516238893762,-0.2389457313001717,0.11605056891123407,0.4126275028337805,0.4494814805818321,-0.03685397774805166,99,16,0.9186614410815642
global_full_shrinkage_g0.10,global_full_shrinkage,0.1,29,3,0.13091801219732,0.130373664158378,-0.0005443480389419886,-0.12289516238893762,-0.12004073469592402,-0.0028544276930135976,0.4126275028337805,0.42721445983628664,-0.014586957002506118,99,16,0.9658462717942656
global_full_shrinkage_g0.25,global_full_shrinkage,0.25,29,3,0.13091801219732,0.12959207752322563,-0.0013259346740943645,-0.12289516238893762,-0.11636002272286737,-0.00653513966607025,0.4126275028337805,0.451155015547307,-0.0385275127135265,99,16,0.9146156794856641
global_full_shrinkage_g0.50,global_full_shrinkage,0.5,29,3,0.13091801219732,0.12839380924798097,-0.0025242029493390272,-0.12289516238893762,-0.1119328903997869,-0.010962271989150715,0.4126275028337805,0.49768961305939047,-0.08506211022560994,99,16,0.8292313589713283
global_full_shrinkage_g0.75,global_full_shrinkage,0.75,29,3,0.13091801219732,0.12734812446099228,-0.003569887736327715,-0.12289516238893762,-0.1098278673093899,-0.013067295079547722,0.4126275028337805,0.5543734918407089,-0.14174598900692847,99,16,0.7438470384569924
global_full_shrinkage_g1.00,global_full_shrinkage,1.0,29,3,0.13091801219732,0.12648481118999852,-0.0044332010073214745,-0.12289516238893762,-0.11029608966191376,-0.01259907272702386,0.4126275028337805,0.6262320175313805,-0.2136045146976,99,16,0.6584627179426565
bounded_global_full_g0.25,bounded_global_full,0.25,29,3,0.13091801219732,0.1299652624309912,-0.0009527497663287809,-0.12289516238893762,-0.12127429223260043,-0.0016208701563371897,0.4126275028337805,0.4402583690679186,-0.02763086623413813,99,16,0.9375
bounded_global_full_g0.50,bounded_global_full,0.5,29,3,0.13091801219732,0.12907342790192233,-0.001844584295397661,-0.12289516238893762,-0.12075429922385612,-0.002140863165081497,0.4126275028337805,0.47159940888511925,-0.05897190605133873,99,16,0.875
bounded_global_full_g0.75,bounded_global_full,0.75,29,3,0.13091801219732,0.12825172758879966,-0.0026662846085203362,-0.12289516238893762,-0.12141433935899686,-0.0014808230299407643,0.4126275028337805,0.5078800590505619,-0.09525255621678141,99,16,0.8125
bounded_global_full_g1.00,bounded_global_full,1.0,29,3,0.13091801219732,0.12751113479223705,-0.003406877405082942,-0.12289516238893762,-0.12334243558803662,0.0004472731990989992,0.4126275028337805,0.5500090846485995,-0.13738158181481908,99,16,0.75
identity,identity,0.0,29,4,0.10797975345654266,0.10797975345654268,1.3877787807814457e-17,-0.2091373226850802,-0.2091373226850802,0.0,1.351015180305225,1.3510151803052244,-6.661338147750939e-16,93,13,1.0
global_intercept_shrinkage_g0.10,global_intercept_shrinkage,0.1,29,4,0.10797975345654266,0.10801084949732961,3.1096040786951495e-05,-0.2091373226850802,-0.21471221315025762,0.005574890465177423,1.351015180305225,1.3508705613098888,-0.00014461899533624312,93,13,1.0
global_intercept_shrinkage_g0.25,global_intercept_shrinkage,0.25,29,4,0.10797975345654266,0.10805977560036156,8.002214381890027e-05,-0.2091373226850802,-0.22307454910355043,0.013937226418470228,1.351015180305225,1.3503088979265823,-0.0007062823786427863,93,13,1.0
global_intercept_shrinkage_g0.50,global_intercept_shrinkage,0.5,29,4,0.10797975345654266,0.10814749766308916,0.00016774420654649957,-0.2091373226850802,-0.23701177639995302,0.02787445371487282,1.351015180305225,1.3507051657989069,-0.00031001450631817917,93,13,1.0
global_intercept_shrinkage_g0.75,global_intercept_shrinkage,0.75,29,4,0.10797975345654266,0.10824309535422377,0.00026334189768111027,-0.2091373226850802,-0.25094900458548286,0.04181168190040266,1.351015180305225,1.350557739774015,-0.0004574405312101071,93,13,1.0
global_intercept_shrinkage_g1.00,global_intercept_shrinkage,1.0,29,4,0.10797975345654266,0.10834674608737226,0.00036699263082959344,-0.2091373226850802,-0.26488623367801434,0.055748910992934136,1.351015180305225,1.3510386155938496,2.343528862458477e-05,93,13,1.0
global_slope_shrinkage_g0.10,global_slope_shrinkage,0.1,29,4,0.10797975345654266,0.10809099014502112,0.00011123668847845547,-0.2091373226850802,-0.22962194201938335,0.02048461933430315,1.351015180305225,1.36873991588613,0.017724735580904927,93,13,0.9870573570285398
global_slope_shrinkage_g0.25,global_slope_shrinkage,0.25,29,4,0.10797975345654266,0.10828916250871042,0.00030940905216775283,-0.2091373226850802,-0.26041351554238923,0.05127619285730903,1.351015180305225,1.3963105755953646,0.045295395290139595,93,13,0.9676433925713496
global_slope_shrinkage_g0.50,global_slope_shrinkage,0.5,29,4,0.10797975345654266,0.10870929582029353,0.0007295423637508625,-0.2091373226850802,-0.31190666276905343,0.10276934008397323,1.351015180305225,1.4438582566474447,0.09284307634221967,93,13,0.9352867851426991
global_slope_shrinkage_g0.75,global_slope_shrinkage,0.75,29,4,0.10797975345654266,0.10925268361099123,0.0012729301544485705,-0.2091373226850802,-0.36361950408706023,0.15448218140198003,1.351015180305225,1.4984421152404732,0.14742693493524817,93,13,0.9029301777140486
global_slope_shrinkage_g1.00,global_slope_shrinkage,1.0,29,4,0.10797975345654266,0.10993290001348825,0.0019531465569455897,-0.2091373226850802,-0.41555470728322796,0.20641738459814776,1.351015180305225,1.5513937757686598,0.20037859546343473,93,13,0.8705735702853982
global_full_shrinkage_g0.10,global_full_shrinkage,0.1,29,4,0.10797975345654266,0.10798322855637912,3.475099836461326e-06,-0.2091373226850802,-0.21354750482058427,0.004410182135504065,1.351015180305225,1.4178714101430412,0.06685622983781614,93,13,0.9526778355165124
global_full_shrinkage_g0.25,global_full_shrinkage,0.25,29,4,0.10797975345654266,0.10803737394555157,5.7620489008911036e-05,-0.2091373226850802,-0.2210405501966144,0.011903227511534192,1.351015180305225,1.5322428043631275,0.1812276240579025,93,13,0.881694588791281
global_full_shrinkage_g0.50,global_full_shrinkage,0.5,29,4,0.10797975345654266,0.10826718934949814,0.000287435892955476,-0.2091373226850802,-0.23593946464154145,0.026802141956461245,1.351015180305225,1.7704924268304532,0.4194772465252281,93,13,0.7633891775825622
global_full_shrinkage_g0.75,global_full_shrinkage,0.75,29,4,0.10797975345654266,0.10868871848216605,0.0007089650256233843,-0.2091373226850802,-0.2539597495696013,0.04482242688452112,1.351015180305225,2.0935080506073174,0.7424928703020923,93,13,0.6450837663738433
global_full_shrinkage_g1.00,global_full_shrinkage,1.0,29,4,0.10797975345654266,0.10932594501265971,0.0013461915561170518,-0.2091373226850802,-0.2752175958048449,0.0660802731197647,1.351015180305225,2.5634327966443227,1.2124176163390976,93,13,0.5267783551651244
bounded_global_full_g0.25,bounded_global_full,0.25,29,4,0.10797975345654266,0.10803600700507485,5.625354853218412e-05,-0.2091373226850802,-0.22331035839315969,0.014173035708079484,1.351015180305225,1.440665883396878,0.0896507030916529,93,13,0.9375
bounded_global_full_g0.50,bounded_global_full,0.5,29,4,0.10797975345654266,0.10814140278761734,0.00016164933107468138,-0.2091373226850802,-0.23830228870862047,0.029164966023540267,1.351015180305225,1.5435071359402253,0.1924919556350002,93,13,0.875
bounded_global_full_g0.75,bounded_global_full,0.75,29,4,0.10797975345654266,0.10830030057007729,0.0003205471135346305,-0.2091373226850802,-0.25413247074915085,0.04499514806407065,1.351015180305225,1.6624127387745333,0.3113975584693083,93,13,0.8125
bounded_global_full_g1.00,bounded_global_full,1.0,29,4,0.10797975345654266,0.10851755932963902,0.0005378058730963614,-0.2091373226850802,-0.27081968192250544,0.06168235923742524,1.351015180305225,1.800992995609102,0.4499778153038769,93,13,0.75
identity,identity,0.0,43,0,0.1268474565242424,0.1268474565242424,0.0,0.21400200037205727,0.21400200037207884,2.1566082253343666e-14,1.8855948079634588,1.8855948079634586,-2.220446049250313e-16,98,18,1.0
global_intercept_shrinkage_g0.10,global_intercept_shrinkage,0.1,43,0,0.1268474565242424,0.1268498626594985,2.406135256094455e-06,0.21400200037205727,0.21417535718102787,0.00017335680897059835,1.8855948079634588,1.8855945224041541,-2.855593046469096e-07,98,18,1.0
global_intercept_shrinkage_g0.25,global_intercept_shrinkage,0.25,43,0,0.1268474565242424,0.12685347335378247,6.016829540073099e-06,0.21400200037205727,0.21443539239184548,0.0004333920197882035,1.8855948079634588,1.885594095124515,-7.128389438726401e-07,98,18,1.0
global_intercept_shrinkage_g0.50,global_intercept_shrinkage,0.5,43,0,0.1268474565242424,0.1268594951520345,1.2038627792115841e-05,0.21400200037205727,0.2148687844098085,0.0008667840377512281,1.8855948079634588,1.8855933861702845,-1.4217931743054635e-06,98,18,1.0
global_intercept_shrinkage_g0.75,global_intercept_shrinkage,0.75,43,0,0.1268474565242424,0.1268655219140854,1.8065389843002766e-05,0.21400200037205727,0.2153021764277745,0.0013001760557172226,1.8855948079634588,1.8855926817637172,-2.1261997416033296e-06,98,18,1.0
global_intercept_shrinkage_g1.00,global_intercept_shrinkage,1.0,43,0,0.1268474565242424,0.1268715536350238,2.4097110781412523e-05,0.21400200037205727,0.2157355684475244,0.0017335680754671234,1.8855948079634588,1.8855919825664975,-2.825396961281257e-06,98,18,1.0
