replicate,threshold,delta_brier_router_minus_v0,delta_brier_router_minus_v1r
121,0.5,-0.0008415303762218385,0.001896042934622394
121,0.6,-0.000832894371472187,0.0019046789393720454
122,0.4,0.00014181497355092443,0.0013367598402984904
122,0.5,0.00013893533961059634,0.0013338802063581623
122,0.6,0.0001438546945985858,0.0013387995613461517
123,0.4,-0.0012473568346661884,-0.0006692501412512986
123,0.5,-0.0012478171706418878,-0.000669710477226998
123,0.6,-0.001241591237068962,-0.0006634845436540721
124,0.4,-0.0009334833040893359,-0.000811159389255009
124,0.5,-0.0009342231178043892,-0.0008118992029700622
124,0.6,-0.0009324845544929627,-0.0008101606396586358
125,0.4,-0.0005791448669333898,0.00033913065612826976
125,0.5,-0.0005785332064643239,0.00033974231659733567
125,0.6,-0.0005723302485300952,0.00034594527453156443
126,0.4,0.0007596857834072102,-0.0006286472443709779
126,0.5,0.000756326050364603,-0.000632006977413585
126,0.6,0.0007624293334392018,-0.0006259036943389862
127,0.4,-0.0002754723415553939,0.0003671016543058403
127,0.5,-0.0002775566751486158,0.0003650173207126184
127,0.6,-0.00027643012179592863,0.0003661438740653056
128,0.4,-0.0007271739997016663,-0.0005562356871923607
128,0.5,-0.0007255171186323073,-0.0005545788061230017
128,0.6,-0.0007179308023998049,-0.0005469924898904993
129,0.4,-0.0014523851759616069,0.004271580313970666
129,0.5,-0.0014531455323048836,0.004270819957627389
129,0.6,-0.0014432185867647024,0.0042807469031675704
130,0.4,-0.00028356058569398157,0.0007207926905004325
130,0.5,-0.00028655743082173224,0.0007177958453726818
130,0.6,-0.00029024730021048883,0.0007141059759839252
131,0.4,-0.0010514058226397255,0.000580761754441203
131,0.5,-0.0010489987150858193,0.0005831688619951092
131,0.6,-0.0010448603921276861,0.0005873071849532424
132,0.4,-0.0009376647375381325,-0.0005013535820065085
132,0.5,-0.0009380198772922788,-0.0005017087217606547
132,0.6,-0.0009317640684253919,-0.0004954529128937679
133,0.4,-0.0011945238692200183,0.0012570659436581116
133,0.5,-0.0011939607767359611,0.0012576290361421688
133,0.6,-0.001189679540168076,0.001261910272710054
134,0.4,-0.0004955169072033139,-1.0940724496810716e-05
134,0.5,-0.0004972654841655655,-1.268930145906233e-05
134,0.6,-0.0004950308300339934,-1.045464732749024e-05
135,0.4,0.0006206592697160229,0.0004972066023524457
135,0.5,0.000619653173902085,0.0004962005065385078
135,0.6,0.0006307659417907896,0.0005073132744272124
136,0.4,0.0007602356921144193,0.00097819072467209
136,0.5,0.0007570673971346309,0.0009750224296923016
136,0.6,0.0007604039002503116,0.0009783589328079823
