candidate,beta,mode,alpha,fit_objective,seed,outer_fold
beta_0.975_mix_25,0.975,mix_25,-0.14813917072314148,0.2054298159738761,29,2
beta_0.975_mix_50,0.975,mix_50,-0.12303070542022215,0.27928056228359643,29,2
beta_0.975_mix_75,0.975,mix_75,-0.10982996917502175,0.35310777475677635,29,2
beta_0.975_logloss,0.975,logloss,-0.101648636591557,0.4269248787003429,29,2
beta_0.900_brier,0.9,brier,-0.11921382210793488,0.13178194515572716,29,3
beta_0.900_mix_25,0.9,mix_25,-0.11900789575900589,0.20454288298690487,29,3
beta_0.900_mix_50,0.9,mix_50,-0.1189238413977549,0.27730381986828245,29,3
beta_0.900_mix_75,0.9,mix_75,-0.11887818667489042,0.3500647564504608,29,3
beta_0.900_logloss,0.9,logloss,-0.11884947071405805,0.42282569290028227,29,3
beta_0.925_brier,0.925,brier,-0.08154185927679863,0.1319851167383746,29,3
beta_0.925_mix_25,0.925,mix_25,-0.07989284208321533,0.2048067487042381,29,3
beta_0.925_mix_50,0.925,mix_50,-0.07922256123312861,0.27762832040456037,29,3
beta_0.925_mix_75,0.925,mix_75,-0.07885885980396984,0.35044987319373344,29,3
beta_0.925_logloss,0.925,logloss,-0.0786304990480841,0.4232714176287172,29,3
beta_0.950_brier,0.95,brier,-0.04401159223635976,0.1321941771326528,29,3
beta_0.950_mix_25,0.95,mix_25,-0.040892126506651,0.20508531156546495,29,3
beta_0.950_mix_50,0.95,mix_50,-0.03962924462191035,0.27797623259524284,29,3
beta_0.950_mix_75,0.95,mix_75,-0.03894487752565265,0.35086708690992197,29,3
beta_0.950_logloss,0.95,logloss,-0.03851546686534183,0.42375791179129957,29,3
beta_0.975_brier,0.975,brier,-0.006627266376354248,0.1324085809288786,29,3
beta_0.975_mix_25,0.975,mix_25,-0.002006151073986095,0.20537801313822174,29,3
beta_0.975_mix_50,0.975,mix_50,-0.00014273038370444055,0.27834698190707463,29,3
beta_0.975_mix_75,0.975,mix_75,0.0008658420113671328,0.35131580631607384,29,3
beta_0.975_logloss,0.975,logloss,0.0014983038066992938,0.4242845671161414,29,3
beta_0.900_brier,0.9,brier,-0.1488139493944958,0.13649729758421608,29,4
beta_0.900_mix_25,0.9,mix_25,-0.12143218800578402,0.2117326365605924,29,4
beta_0.900_mix_50,0.9,mix_50,-0.11067029427916406,0.28695217993224226,29,4
beta_0.900_mix_75,0.9,mix_75,-0.10486836569761919,0.36216687926451585,29,4
beta_0.900_logloss,0.9,logloss,-0.1012311445097286,0.43737944605962387,29,4
beta_0.925_brier,0.925,brier,-0.11386195668572308,0.13679427433820673,29,4
beta_0.925_mix_25,0.925,mix_25,-0.08381298920999011,0.21217248863473726,29,4
beta_0.925_mix_50,0.925,mix_50,-0.07208300449535263,0.28753198008079267,29,4
beta_0.925_mix_75,0.925,mix_75,-0.06577284175284046,0.3628857659507477,29,4
beta_0.925_logloss,0.925,logloss,-0.06182118921473448,0.43823704566316163,29,4
beta_0.950_brier,0.95,brier,-0.07907837634303762,0.13709763319824061,29,4
beta_0.950_mix_25,0.95,mix_25,-0.0463138260095349,0.21262983862112034,29,4
beta_0.950_mix_50,0.95,mix_50,-0.03360961185315151,0.28814013377712383,29,4
beta_0.950_mix_75,0.95,mix_75,-0.026789839988331086,0.36364379340568515,29,4
beta_0.950_logloss,0.95,logloss,-0.022523431957627075,0.43914454480687004,29,4
beta_0.975_brier,0.975,brier,-0.044468215964058026,0.13740671124249773,29,4
beta_0.975_mix_25,0.975,mix_25,-0.00893476622588177,0.21310399414829548,29,4
beta_0.975_mix_50,0.975,mix_50,0.004751594825188032,0.2887759102560509,29,4
beta_0.975_mix_75,0.975,mix_75,0.01208340017122811,0.36444019085631446,29,4
beta_0.975_logloss,0.975,logloss,0.01666552454492215,0.4401011321298373,29,4
beta_0.900_brier,0.9,brier,-0.17534168665264835,0.12306614662005044,43,0
beta_0.900_mix_25,0.9,mix_25,-0.1658721818198729,0.1936541103800784,43,0
beta_0.900_mix_50,0.9,mix_50,-0.16173676943785303,0.264239886749731,43,0
beta_0.900_mix_75,0.9,mix_75,-0.15941187156560832,0.3348249134820343,43,0
beta_0.900_logloss,0.9,logloss,-0.15792063967271178,0.40540959380979047,43,0
beta_0.925_brier,0.925,brier,-0.14318013329691714,0.12310456357911513,43,0
beta_0.925_mix_25,0.925,mix_25,-0.12980578437617493,0.1937248867009517,43,0
beta_0.925_mix_50,0.925,mix_50,-0.12399429279278475,0.2643409011007584,43,0
beta_0.925_mix_75,0.925,mix_75,-0.12073088523336307,0.3349554441387255,43,0
beta_0.925_logloss,0.925,logloss,-0.11863848091168085,0.40556930776320915,43,0
beta_0.950_brier,0.95,brier,-0.11141634750485593,0.12315421289282906,43,0
beta_0.950_mix_25,0.95,mix_25,-0.09398405317277522,0.193815140512622,43,0
beta_0.950_mix_50,0.95,mix_50,-0.08644931057777486,0.2644688438651026,43,0
beta_0.950_mix_75,0.95,mix_75,-0.08222373812316566,0.3351200898046773,43,0
beta_0.950_logloss,0.95,logloss,-0.07951559662936251,0.4057702020071785,43,0
beta_0.975_brier,0.975,brier,-0.08003905801280627,0.12321476193706787,43,0
beta_0.975_mix_25,0.975,mix_25,-0.058396997644056134,0.19392456480236075,43,0
beta_0.975_mix_50,0.975,mix_50,-0.04909474551998522,0.26462338463804363,43,0
beta_0.975_mix_75,0.975,mix_75,-0.04388538295846774,0.33531848406554404,43,0
beta_0.975_logloss,0.975,logloss,-0.04054837423418424,0.40601186881339807,43,0
beta_0.900_brier,0.9,brier,-0.08993916697037639,0.12423823561303576,43,1
beta_0.900_mix_25,0.9,mix_25,-0.10465098200850406,0.19410980729905455,43,1
beta_0.900_mix_50,0.9,mix_50,-0.11125304287127101,0.26397570087467054,43,1
beta_0.900_mix_75,0.9,mix_75,-0.11498338690664735,0.33383961534268125,43,1
beta_0.900_logloss,0.9,logloss,-0.11737742610151378,0.40370261410902036,43,1
beta_0.925_brier,0.925,brier,-0.054734750107321144,0.12425647747064429,43,1
beta_0.925_mix_25,0.925,mix_25,-0.06683552637320123,0.19409215829422366,43,1
beta_0.925_mix_50,0.925,mix_50,-0.07224297269444595,0.2639240385099558,43,1
beta_0.925_mix_75,0.925,mix_75,-0.07529500737420003,0.33375459829706966,43,1
beta_0.925_logloss,0.925,logloss,-0.07725299099492391,0.4035845476186225,43,1
beta_0.950_brier,0.95,brier,-0.019866210851884652,0.12428663639771519,43,1
beta_0.950_mix_25,0.95,mix_25,-0.029243936342846347,0.19409317750607705,43,1
beta_0.950_mix_50,0.95,mix_50,-0.033415835155354345,0.26389746148161203,43,1
beta_0.950_mix_75,0.95,mix_75,-0.03576765973278542,0.3337009640124093,43,1
beta_0.950_logloss,0.95,logloss,-0.03727580910585406,0.4035041055883894,43,1
beta_0.975_brier,0.975,brier,0.014676774305416506,0.12432840127366727,43,1
beta_0.975_mix_25,0.975,mix_25,0.008131952354889994,0.19411258684978389,43,1
beta_0.975_mix_50,0.975,mix_50,0.00523408853565456,0.26389568581350836,43,1
beta_0.975_mix_75,0.975,mix_75,0.0036026056853448616,0.3336784099926972,43,1
beta_0.975_logloss,0.975,logloss,0.002556914752199383,0.4034609612330478,43,1
beta_0.900_brier,0.9,brier,-0.13698836913494666,0.12043797708773324,43,2
beta_0.900_mix_25,0.9,mix_25,-0.1462157522622508,0.18984183464104767,43,2
beta_0.900_mix_50,0.9,mix_50,-0.15036638430824878,0.2592435107087525,43,2
beta_0.900_mix_75,0.9,mix_75,-0.1527188983128406,0.32864442159783225,43,2
beta_0.900_logloss,0.9,logloss,-0.15423231097344955,0.39804497669163186,43,2
beta_0.925_brier,0.925,brier,-0.10317631797497794,0.12041182068402219,43,2
beta_0.925_mix_25,0.925,mix_25,-0.1092694074955023,0.18981211008898446,43,2
beta_0.925_mix_50,0.925,mix_50,-0.11199934279550018,0.259211458470447,43,2
beta_0.925_mix_75,0.925,mix_75,-0.1135452394109397,0.3286104776637402,43,2
beta_0.925_logloss,0.925,logloss,-0.11453958836718389,0.3980093438508774,43,2
beta_0.950_brier,0.95,brier,-0.06973906564378507,0.12039742629490673,43,2
beta_0.950_mix_25,0.95,mix_25,-0.07256766226025911,0.18980169514285428,43,2
beta_0.950_mix_50,0.95,mix_50,-0.07382957699145276,0.25920576347394886,43,2
beta_0.950_mix_75,0.95,mix_75,-0.07454348845084421,0.3286097618696205,43,2
beta_0.950_logloss,0.95,logloss,-0.07500255382426375,0.39801372777700267,43,2
beta_0.975_brier,0.975,brier,-0.036665305229713126,0.12039451106844769,43,2
beta_0.975_mix_25,0.975,mix_25,-0.03610113337205221,0.1898103324802886,43,2
beta_0.975_mix_50,0.975,mix_50,-0.03585058882421483,0.2592261460099269,43,2
