candidate,beta,mode,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
beta_0.950_logloss,0.95,logloss,29,3,True,0.13091801219732,0.1304765217010589,-0.00044149049626110437,-0.12289497349618808,-0.15550141633815073,0.03260644284196265,0.4126193561358848,0.4343362246269851,-0.021716868491100216,99,16
beta_0.975_brier,0.975,brier,29,3,True,0.13091801219732,0.13081836730051163,-9.964489680835964e-05,-0.12289497349618808,-0.1517440810561021,0.028849107559914017,0.4126193561358848,0.42319928568465903,-0.01057992954877418,99,16
beta_0.975_mix_25,0.975,mix_25,29,3,True,0.13091801219732,0.13086628266605177,-5.1729531268224216e-05,-0.12289497349618808,-0.15636519635847024,0.033470222862282156,0.4126193561358848,0.4231993285806631,-0.010579972444778263,99,16
beta_0.975_mix_50,0.975,mix_50,29,3,True,0.13091801219732,0.13088583298796713,-3.217920935286167e-05,-0.12289497349618808,-0.1582286170487518,0.035333643552563715,0.4126193561358848,0.4231993965116161,-0.010580040375731237,99,16
beta_0.975_mix_75,0.975,mix_75,29,3,True,0.13091801219732,0.13089646960738818,-2.154258993181113e-05,-0.12289497349618808,-0.15923718944382337,0.03634221594763529,0.4126193561358848,0.42319932040415126,-0.010579964268266462,99,16
beta_0.975_logloss,0.975,logloss,29,3,True,0.13091801219732,0.13090315943910724,-1.4852758212752226e-05,-0.12289497349618808,-0.15986965123915564,0.03697467774296756,0.4126193561358848,0.4231993204054612,-0.010579964269576303,99,16
beta_0.900_brier,0.9,brier,29,4,True,0.10797975345654266,0.10802032978867485,4.057633213218337e-05,-0.20913650174666965,-0.21949825713180615,0.010361755385136506,1.350457764207584,1.500508846612267,0.150051082404683,93,13
beta_0.900_mix_25,0.9,mix_25,29,4,True,0.10797975345654266,0.10818518968950053,0.00020543623295786462,-0.20913650174666965,-0.2468800185205181,0.03774351677384846,1.350457764207584,1.500508372116384,0.1500506079088002,93,13
beta_0.900_mix_50,0.9,mix_50,29,4,True,0.10797975345654266,0.10825837013036661,0.0002786166738239504,-0.20913650174666965,-0.25764191224713806,0.048505410500468416,1.350457764207584,1.5005077904916726,0.1500500262840887,93,13
beta_0.900_mix_75,0.9,mix_75,29,4,True,0.10797975345654266,0.10829983377691499,0.00032008032037232625,-0.20913650174666965,-0.2634438408286828,0.05430733908201313,1.350457764207584,1.500508763647738,0.1500509994401542,93,13
beta_0.900_logloss,0.9,logloss,29,4,True,0.10797975345654266,0.10832655352003573,0.00034680006349306625,-0.20913650174666965,-0.26708106201657345,0.0579445602699038,1.350457764207584,1.500508724407824,0.15005096020024,93,13
beta_0.925_brier,0.925,brier,29,4,True,0.10797975345654266,0.10798704165391435,7.288197371682625e-06,-0.20913650174666965,-0.21446010132762983,0.005323599580960181,1.350457764207584,1.4599541145716404,0.10949635036405647,93,13
beta_0.925_mix_25,0.925,mix_25,29,4,True,0.10797975345654266,0.10816629972154922,0.00018654626500655414,-0.20913650174666965,-0.24450906880336265,0.035372567056693005,1.350457764207584,1.4599545285923223,0.10949676438473843,93,13
beta_0.925_mix_50,0.925,mix_50,29,4,True,0.10797975345654266,0.1082462371734913,0.00026648371694863726,-0.20913650174666965,-0.256239053518,0.04710255177133038,1.350457764207584,1.4599545940736405,0.10949682986605658,93,13
beta_0.925_mix_75,0.925,mix_75,29,4,True,0.10797975345654266,0.1082916148885381,0.00031186143199543603,-0.20913650174666965,-0.2625492162605123,0.05341271451384266,1.350457764207584,1.459954243547339,0.10949647933975504,93,13
beta_0.925_logloss,0.925,logloss,29,4,True,0.10797975345654266,0.10832088824285009,0.00034113478630742877,-0.20913650174666965,-0.26650086879861834,0.057364367051948695,1.350457764207584,1.459953958022924,0.10949619381534004,93,13
beta_0.950_brier,0.95,brier,29,4,True,0.10797975345654266,0.10796049500021071,-1.9258456331952556e-05,-0.20913650174666965,-0.2093851872853627,0.00024868553869306087,1.350457764207584,1.4215346794645336,0.0710769152569497,93,13
beta_0.950_mix_25,0.95,mix_25,29,4,True,0.10797975345654266,0.10815431797657472,0.00017456452003206113,-0.20913650174666965,-0.24214973761886538,0.033013235872195734,1.350457764207584,1.4215343656822894,0.07107660147470551,93,13
beta_0.950_mix_50,0.95,mix_50,29,4,True,0.10797975345654266,0.10824115628580298,0.000261402829260321,-0.20913650174666965,-0.2548539517752487,0.045717450028579076,1.350457764207584,1.4215342881780955,0.07107652397051156,93,13
beta_0.950_mix_75,0.95,mix_75,29,4,True,0.10797975345654266,0.10829054266438735,0.00031078920784469166,-0.20913650174666965,-0.261673723640069,0.05253722189339938,1.350457764207584,1.4215345583723824,0.0710767941647985,93,13
beta_0.950_logloss,0.95,logloss,29,4,True,0.10797975345654266,0.10832243525224627,0.00034268179570361157,-0.20913650174666965,-0.26594013167077324,0.056803629924103594,1.350457764207584,1.4215349019728771,0.07107713776529323,93,13
beta_0.975_brier,0.975,brier,29,4,True,0.10797975345654266,0.10794048212626052,-3.927133028214236e-05,-0.20913650174666965,-0.20426725156419379,-0.004869250182475859,1.350457764207584,1.385084885836085,0.03462712162850101,93,13
beta_0.975_mix_25,0.975,mix_25,29,4,True,0.10797975345654266,0.10814908918031663,0.000169335723773964,-0.20913650174666965,-0.2398007013023699,0.030664199555700267,1.350457764207584,1.3850857458070853,0.03462798159950142,93,13
beta_0.975_mix_50,0.975,mix_50,29,4,True,0.10797975345654266,0.10824299822845727,0.0002632447719146114,-0.20913650174666965,-0.25348706235343965,0.044350560606770006,1.350457764207584,1.3850848289916848,0.034627064784100936,93,13
beta_0.975_mix_75,0.975,mix_75,29,4,True,0.10797975345654266,0.10829650312644643,0.0003167496699037625,-0.20913650174666965,-0.26081886769947993,0.05168236595281028,1.350457764207584,1.3850852660990547,0.03462750189147079,93,13
beta_0.975_logloss,0.975,logloss,29,4,True,0.10797975345654266,0.10833109012936237,0.00035133667281971037,-0.20913650174666965,-0.2654009920731738,0.05626449032650416,1.350457764207584,1.3850837843784245,0.0346260201708406,93,13
