study,partition,seed,indicator,mean,sd,median,q90,max
HANCOCK,calibration,71,fusion_uncertainty_sd,0.04081285394627892,0.04263081570339472,0.02775566245274176,0.06277284034081834,0.26317625807001965
HANCOCK,calibration,71,fusion_uncertainty_width95,0.130366083447981,0.1302200736366045,0.0952769978645297,0.2102377671044764,0.7297375091476853
HANCOCK,calibration,71,perturbation_sensitivity,0.0781436610111649,0.10779880290609507,0.03355691092336316,0.24157698642476963,0.46350375064741567
HANCOCK,calibration,71,modality_missingness,0.13524590163934427,0.28637723810339016,0.0,0.8,0.95
HANCOCK,calibration,71,fusion_disagreement,0.007121234398660652,0.008603647840271615,0.00414207123992949,0.013771165073503002,0.04089698013072163
HANCOCK,calibration,71,clinical_ood_rank,0.5040983606557377,0.2863183992261106,0.5068306010928962,0.8986338797814208,1.0
HANCOCK,calibration,71,modality_ood_rank,0.5040983606557377,0.2500335908634368,0.48224043715847,0.843169398907104,0.9890710382513661
HANCOCK,calibration,71,clinical_unreliability,0.5040983606557377,0.2008833968883382,0.4831511839708561,0.7938979963570127,0.9134790528233152
HANCOCK,calibration,71,modality_unreliability,0.5557645794141359,0.15560527701177063,0.5472677595628415,0.7557377049180328,0.9584699453551913
HANCOCK,oof,101,clinical_ood_mahalanobis,6.499981950437787,2.573288152861827,5.74834428667168,9.271601023303507,21.8056872393406
HANCOCK,oof,101,clinical_ood_knn,7.031734078233415,2.6140937314784756,6.47131291799351,9.72343305850383,21.785706428532762
HANCOCK,oof,101,clinical_ood_isolation_forest,0.41557045963051553,0.04591374660118637,0.4022632541584332,0.4707891740896011,0.6348827952486705
HANCOCK,oof,101,clinical_uncertainty_sd,0.029674893984687825,0.021777300474278706,0.02448431803777853,0.04829278924854758,0.22552100744296483
HANCOCK,oof,101,clinical_uncertainty_width95,0.09744901137662344,0.06953084507531024,0.0801317726402697,0.16228867881029904,0.7071518851982576
HANCOCK,oof,101,clinical_model_disagreement,0.049965952951564266,0.05178003764099819,0.04082389196806058,0.09540421661018858,0.7459390744315726
HANCOCK,oof,101,modality_ood_mahalanobis,4.526975675298953,1.9056495426365752,4.049313768856711,6.504873067674131,28.01439887607663
HANCOCK,oof,101,modality_ood_knn,3.7505809269185626,1.3468384301072256,3.671561984103806,5.280963273714573,10.396014819080527
HANCOCK,oof,101,modality_ood_isolation_forest,0.42661083293583163,0.06492538419473508,0.4093755384286308,0.5178616417706802,0.6655983736465181
HANCOCK,oof,101,fusion_uncertainty_sd,0.03926055864607551,0.03128455427936766,0.029733402590669783,0.07149365727224558,0.2687458981533944
HANCOCK,oof,101,fusion_uncertainty_width95,0.12920645402779954,0.09928697845902949,0.09878895957764862,0.23348905075897997,0.8469847814441742
HANCOCK,oof,101,perturbation_sensitivity,0.0535103877853751,0.05551409679894143,0.03600413043211903,0.12672608162606924,0.3702456717568223
HANCOCK,oof,101,modality_missingness,0.10408997955010225,0.2570195662996501,0.0,0.8,1.0
HANCOCK,oof,101,fusion_disagreement,0.009095946501118946,0.013212116292511606,0.005727367783529558,0.018998632434183583,0.1604267592165498
HANCOCK,oof,101,clinical_ood_rank,0.48029881435292276,0.2794742015880991,0.44808743169398907,0.8825136612021858,1.0
HANCOCK,oof,101,modality_ood_rank,0.49079195860851293,0.2575070525127576,0.4453551912568306,0.8551912568306012,0.9754098360655737
HANCOCK,oof,101,clinical_unreliability,0.5174252498500713,0.20228298542687975,0.49271402550091076,0.8100182149362478,0.9918032786885246
HANCOCK,oof,101,modality_unreliability,0.5663772391520556,0.14770036493289182,0.566120218579235,0.7674316939890711,0.9245901639344263
HANCOCK,calibration,101,clinical_ood_mahalanobis,6.742647563317895,2.5284202421747337,6.070819778536446,9.432602924703671,15.373980926563425
HANCOCK,calibration,101,clinical_ood_knn,7.166679745481748,2.436412040287494,6.831999648219512,9.945106654308278,15.1106325755189
HANCOCK,calibration,101,clinical_ood_isolation_forest,0.4167800436208276,0.04803077914836159,0.4045035609628867,0.48361463753906697,0.5836856917177482
HANCOCK,calibration,101,clinical_uncertainty_sd,0.02394675609208765,0.011542542895555674,0.021718996565849927,0.037424533400211506,0.06853969276367078
HANCOCK,calibration,101,clinical_uncertainty_width95,0.08010438775588967,0.037266863849654816,0.07111489060602105,0.12832666810551863,0.22463877998114465
HANCOCK,calibration,101,clinical_model_disagreement,0.05108039229526167,0.040051457927287946,0.043953604048849904,0.10439789216130083,0.22514054056790045
HANCOCK,calibration,101,modality_ood_mahalanobis,4.562916267561947,1.555081839510035,4.418693814393212,6.157167705961204,10.623923468936084
HANCOCK,calibration,101,modality_ood_knn,3.6948562479376688,1.5104703539572761,3.7347969814974613,5.016852345408853,9.805607003696286
HANCOCK,calibration,101,modality_ood_isolation_forest,0.4336478654129402,0.07118667637489343,0.41352243160928853,0.532841147208,0.6802165492461703
HANCOCK,calibration,101,fusion_uncertainty_sd,0.033944987954309294,0.02757600770849959,0.02509272650941151,0.055063634657378714,0.19342506823539815
HANCOCK,calibration,101,fusion_uncertainty_width95,0.11097776602505184,0.08969582939049948,0.08414335632580572,0.18865211545151128,0.6156030772493956
HANCOCK,calibration,101,perturbation_sensitivity,0.06879953012192011,0.08246977346447204,0.04260648034233172,0.15017296008656406,0.4608974928193007
HANCOCK,calibration,101,modality_missingness,0.13524590163934427,0.28637723810339016,0.0,0.8,0.95
HANCOCK,calibration,101,fusion_disagreement,0.007653028628019407,0.010186330186951935,0.004439758315668674,0.020427736416081848,0.058936607148082576
HANCOCK,calibration,101,clinical_ood_rank,0.5040983606557377,0.28611771875694536,0.4931693989071038,0.8986338797814208,1.0
HANCOCK,calibration,101,modality_ood_rank,0.5040983606557378,0.24981561713652467,0.48497267759562845,0.8407103825136611,0.9890710382513661
HANCOCK,calibration,101,clinical_unreliability,0.5040983606557377,0.19403782147626333,0.4990892531876139,0.7763205828779599,0.9162112932604737
HANCOCK,calibration,101,modality_unreliability,0.555764579414136,0.15847760466953784,0.5393442622950819,0.7570491803278688,0.9584699453551913
TCGA-HNSC,oof,17,clinical_ood_mahalanobis,4.622485032106619,2.6144442120070392,3.826153064417267,7.781478710115815,20.628064284455608
TCGA-HNSC,oof,17,clinical_ood_knn,2.2073337071430172,2.516064210920296,1.604211170157863,4.821725076974345,17.38546453027838
TCGA-HNSC,oof,17,clinical_ood_isolation_forest,0.40500836165800785,0.04532211531059004,0.40097008557843017,0.4661841627207907,0.5716948707845821
TCGA-HNSC,oof,17,clinical_uncertainty_sd,0.039164318854910764,0.012798777828621885,0.03600979023975802,0.057443362732873024,0.08820592682499569
TCGA-HNSC,oof,17,clinical_uncertainty_width95,0.1339602522060209,0.04561186097020387,0.12243240806382208,0.19571683017583655,0.3115265684299233
TCGA-HNSC,oof,17,clinical_model_disagreement,0.037906002809613815,0.0293228823791998,0.03203057890914518,0.07611247863220738,0.17923102393553525
