study,partition,seed,target_coverage,observed_coverage,augmentation_rate,fallback_rate,abstention_rate,ipcw_brier,harrell_c,auc_horizon
TCGA-HNSC,calibration,17,0.95,0.9519230769230769,0.9134615384615384,0.038461538461538464,0.04807692307692308,0.23231369270970567,0.6205645161290323,0.6197358645732522
TCGA-HNSC,oof,17,1.0,0.9855421686746988,0.980722891566265,0.004819277108433735,0.014457831325301205,0.2286729994883986,0.5872397957994359,0.6035034422501082
TCGA-HNSC,calibration,17,1.0,1.0,1.0,0.0,0.0,0.2457914183544378,0.6153032440056417,0.6052877902034774
TCGA-HNSC,oof,29,0.5,0.29156626506024097,0.09156626506024096,0.2,0.708433734939759,0.21029933841704238,0.5765230312035661,0.561939279631381
TCGA-HNSC,calibration,29,0.5,0.5096153846153846,0.25961538461538464,0.25,0.49038461538461536,0.2632074691471842,0.6571246819338422,0.5789896749876042
TCGA-HNSC,oof,29,0.55,0.40963855421686746,0.14216867469879518,0.2674698795180723,0.5903614457831325,0.2272752966760384,0.5494908350305499,0.5293889133755112
TCGA-HNSC,calibration,29,0.55,0.5576923076923077,0.3173076923076923,0.2403846153846154,0.4423076923076923,0.2701296124857107,0.6536113936927772,0.5442418593812947
TCGA-HNSC,oof,29,0.6,0.4457831325301205,0.17590361445783131,0.26987951807228916,0.5542168674698795,0.22393070119434672,0.5412849289967934,0.5407413716911194
TCGA-HNSC,calibration,29,0.6,0.6057692307692307,0.375,0.23076923076923078,0.3942307692307692,0.26816342934470744,0.6101398601398601,0.5093393940031083
TCGA-HNSC,oof,29,0.65,0.4963855421686747,0.2216867469879518,0.2746987951807229,0.5036144578313253,0.21951188716559963,0.5665927773159694,0.563160826917971
TCGA-HNSC,calibration,29,0.65,0.6538461538461539,0.4326923076923077,0.22115384615384615,0.34615384615384615,0.2579281806285472,0.632183908045977,0.5627317883681116
TCGA-HNSC,oof,29,0.7,0.6024096385542169,0.3204819277108434,0.2819277108433735,0.39759036144578314,0.21666766399035,0.568064182194617,0.5590787890480867
TCGA-HNSC,calibration,29,0.7,0.7115384615384616,0.5096153846153846,0.20192307692307693,0.28846153846153844,0.23796141733751536,0.6229784366576819,0.6089820362603935
TCGA-HNSC,oof,29,0.75,0.6795180722891566,0.39036144578313253,0.2891566265060241,0.3204819277108434,0.21409782129800622,0.5753172329103561,0.5755138770339308
TCGA-HNSC,calibration,29,0.75,0.7596153846153846,0.5769230769230769,0.18269230769230768,0.2403846153846154,0.227551485149436,0.59375,0.6072454419686218
TCGA-HNSC,oof,29,0.8,0.7180722891566265,0.4457831325301205,0.27228915662650605,0.2819277108433735,0.21691595949270112,0.5574373410824555,0.5641695260463427
TCGA-HNSC,calibration,29,0.8,0.8076923076923077,0.6538461538461539,0.15384615384615385,0.19230769230769232,0.22246795038287348,0.607360265633647,0.6263380731931854
TCGA-HNSC,oof,29,0.85,0.7662650602409639,0.5469879518072289,0.21927710843373494,0.23373493975903614,0.21340688105739164,0.5840314447929488,0.5915170266960239
TCGA-HNSC,calibration,29,0.85,0.8557692307692307,0.7307692307692307,0.125,0.14423076923076922,0.22846198769976803,0.5986547085201793,0.6157544955942245
TCGA-HNSC,oof,29,0.9,0.7903614457831325,0.6481927710843374,0.14216867469879518,0.20963855421686747,0.21767802988254012,0.5814026646928201,0.5978802578820857
TCGA-HNSC,calibration,29,0.9,0.9038461538461539,0.8173076923076923,0.08653846153846154,0.09615384615384616,0.23985193111152628,0.6106644096487516,0.6243528030312813
TCGA-HNSC,oof,29,0.95,0.8554216867469879,0.7734939759036145,0.0819277108433735,0.14457831325301204,0.20969751999558095,0.5976038237528488,0.6257458396135464
TCGA-HNSC,calibration,29,0.95,0.9519230769230769,0.9134615384615384,0.038461538461538464,0.04807692307692308,0.24011084375493616,0.613849765258216,0.6075130716398633
TCGA-HNSC,oof,29,1.0,0.946987951807229,0.927710843373494,0.01927710843373494,0.05301204819277108,0.2140987104263445,0.6010647648225811,0.6313102199576296
TCGA-HNSC,calibration,29,1.0,1.0,1.0,0.0,0.0,0.24514199887621302,0.6184767277856136,0.6091366301317727
TCGA-HNSC,oof,43,0.5,0.6,0.18795180722891566,0.41204819277108434,0.4,0.20246251568520846,0.565685083267815,0.5593892739182861
TCGA-HNSC,calibration,43,0.5,0.5096153846153846,0.25961538461538464,0.25,0.49038461538461536,0.26178668252479653,0.584573748308525,0.5548419937488304
TCGA-HNSC,oof,43,0.55,0.6457831325301204,0.236144578313253,0.40963855421686746,0.3542168674698795,0.21062227095345779,0.5587867230796735,0.5472622875395567
TCGA-HNSC,calibration,43,0.55,0.5673076923076923,0.3173076923076923,0.25,0.4326923076923077,0.26205491512858203,0.6169438669438669,0.5692855969575686
TCGA-HNSC,oof,43,0.6,0.6867469879518072,0.3036144578313253,0.38313253012048193,0.3132530120481928,0.21437560274391626,0.553933709226959,0.5375950554928742
TCGA-HNSC,calibration,43,0.6,0.6153846153846154,0.375,0.2403846153846154,0.38461538461538464,0.2459095682010093,0.6260623229461756,0.5681287245442908
TCGA-HNSC,oof,43,0.65,0.708433734939759,0.3349397590361446,0.37349397590361444,0.29156626506024097,0.20980283507997077,0.5653693367526524,0.554909649388122
TCGA-HNSC,calibration,43,0.65,0.6538461538461539,0.4326923076923077,0.22115384615384615,0.34615384615384615,0.24153529111832786,0.625,0.5771400248644349
TCGA-HNSC,oof,43,0.7,0.7397590361445783,0.38313253012048193,0.3566265060240964,0.26024096385542167,0.2105441935736868,0.5767775254886247,0.5737562791788526
