study,partition,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
TCGA-HNSC,calibration,B6,29,104.0,44.0,107.37347592126233,0.24514199887621302,0.6184767277856136,0.6114667809426519,0.6091366301317727,-0.05554934399416295,0.3900745134538405,0.3592415204742654
TCGA-HNSC,oof,B2,43,415.0,177.0,414.646498814596,0.22106159830183578,0.565785042322459,0.5602606827628837,0.5517413178538157,-0.01974273748980812,0.738724123794591,0.33894303182217367
TCGA-HNSC,oof,B5,43,415.0,177.0,414.646498814596,0.23572817230888407,0.5800309840813669,0.5827601557433527,0.5948847079767906,-0.1592189761452217,0.34063604556591776,0.3608226573135574
TCGA-HNSC,oof,B6,43,415.0,177.0,414.646498814596,0.23799684734261664,0.5723074159725184,0.5744876246562254,0.5860856865810127,-0.15680035271244583,0.3092770676375978,0.360977304320952
TCGA-HNSC,calibration,B2,43,104.0,44.0,107.37347592126233,0.24223428148312662,0.48977433004231313,0.4610972889812611,0.43680216979269626,0.06823441320275524,-0.6438354328494704,0.3330177162914441
TCGA-HNSC,calibration,B5,43,104.0,44.0,107.37347592126233,0.24821463642229707,0.6103667136812412,0.6027886628327231,0.600084257225159,-0.041857401677977774,0.34622536733610476,0.3566847492814937
TCGA-HNSC,calibration,B6,43,104.0,44.0,107.37347592126233,0.24213332858886683,0.6244710860366713,0.6203326760090673,0.6148669832596729,-0.058990853762865184,0.43440894950265024,0.359703767301386
TCGA-HNSC,oof,B2,71,415.0,177.0,414.646498814596,0.22308919477366668,0.566065695233391,0.5636196847863992,0.5513782556118669,-0.0059743434417774,0.44134702798712183,0.3348107506771694
TCGA-HNSC,oof,B5,71,415.0,177.0,414.646498814596,0.22511859924988792,0.5991378342576169,0.6028308573454499,0.6207593839879206,-0.15128444771788474,0.43336188579227525,0.3595781173177626
TCGA-HNSC,oof,B6,71,415.0,177.0,414.646498814596,0.22727009224974448,0.5944004131210849,0.5970364567525346,0.6154704331120076,-0.15197533569118285,0.4142450536370565,0.35994031462374876
TCGA-HNSC,calibration,B2,71,104.0,44.0,107.37347592126233,0.24223428148312662,0.48977433004231313,0.4610972889812611,0.43680216979269626,0.06823441320275524,-0.6438354328494704,0.3330177162914441
TCGA-HNSC,calibration,B5,71,104.0,44.0,107.37347592126233,0.24821463642229707,0.6103667136812412,0.6027886628327231,0.600084257225159,-0.041857401677977774,0.34622536733610476,0.3566847492814937
TCGA-HNSC,calibration,B6,71,104.0,44.0,107.37347592126233,0.24504212097092268,0.614950634696756,0.6094017215074213,0.6079715601614054,-0.06255948924901687,0.3920272723645775,0.36091073424390585
TCGA-HNSC,oof,B2,101,415.0,177.0,414.646498814596,0.218964431655873,0.5814117964031523,0.5778637549751694,0.5738902437728532,-0.01703330391174782,1.014209722658491,0.3382623226950991
TCGA-HNSC,oof,B5,101,415.0,177.0,414.646498814596,0.21755468335786776,0.6227575832416534,0.6225087305798491,0.6442343490094005,-0.1336414800436301,0.5154110442480512,0.35998091999290566
TCGA-HNSC,oof,B6,101,415.0,177.0,414.646498814596,0.21824950065226376,0.6179528054064977,0.6166053349965381,0.638254746511324,-0.13938047578212642,0.5136244505701099,0.3620415985369849
TCGA-HNSC,calibration,B2,101,104.0,44.0,107.37347592126233,0.24223428148312662,0.48977433004231313,0.4610972889812611,0.43680216979269626,0.06823441320275524,-0.6438354328494704,0.3330177162914441
TCGA-HNSC,calibration,B5,101,104.0,44.0,107.37347592126233,0.24821463642229707,0.6103667136812412,0.6027886628327231,0.600084257225159,-0.041857401677977774,0.34622536733610476,0.3566847492814937
TCGA-HNSC,calibration,B6,101,104.0,44.0,107.37347592126233,0.24610302163139122,0.6177715091678421,0.612384959137001,0.6090421954659513,-0.053913080980441605,0.3797890220719475,0.35817110913425587
