path,status,detail
results/metrics/phase8_pseudo_private/paired_comparisons.csv,PARSED_CSV,rows=28; columns=7
results/predictions/phase6/gse41613__original__aggregate100.csv,PARSED_CSV,rows=97; columns=16
results/predictions/phase6/gse41613__original__aggregate80.csv,PARSED_CSV,rows=97; columns=16
results/predictions/phase6/gse41613__original__aggregate90.csv,PARSED_CSV,rows=97; columns=16
results/predictions/phase6/gse41613__original__seed101.csv,PARSED_CSV,rows=97; columns=66
results/predictions/phase6/gse41613__original__seed17.csv,PARSED_CSV,rows=97; columns=66
results/predictions/phase6/gse41613__original__seed29.csv,PARSED_CSV,rows=97; columns=66
results/predictions/phase6/gse41613__original__seed43.csv,PARSED_CSV,rows=97; columns=66
results/predictions/phase6/gse41613__original__seed71.csv,PARSED_CSV,rows=97; columns=66
results/predictions/phase6/gse65858__original__aggregate100.csv,PARSED_CSV,rows=244; columns=16
results/predictions/phase6/gse65858__original__aggregate80.csv,PARSED_CSV,rows=244; columns=16
results/predictions/phase6/gse65858__original__aggregate90.csv,PARSED_CSV,rows=244; columns=16
results/predictions/phase6/gse65858__original__seed101.csv,PARSED_CSV,rows=244; columns=66
results/predictions/phase6/gse65858__original__seed17.csv,PARSED_CSV,rows=244; columns=66
results/predictions/phase6/gse65858__original__seed29.csv,PARSED_CSV,rows=244; columns=66
results/predictions/phase6/gse65858__original__seed43.csv,PARSED_CSV,rows=244; columns=66
results/predictions/phase6/gse65858__original__seed71.csv,PARSED_CSV,rows=244; columns=66
results/predictions/phase6/hancock__original__aggregate100.csv,PARSED_CSV,rows=152; columns=16
results/predictions/phase6/hancock__original__aggregate80.csv,PARSED_CSV,rows=152; columns=16
results/predictions/phase6/hancock__original__aggregate90.csv,PARSED_CSV,rows=152; columns=16
results/predictions/phase6/hancock__original__seed101.csv,PARSED_CSV,rows=152; columns=68
results/predictions/phase6/hancock__original__seed17.csv,PARSED_CSV,rows=152; columns=68
results/predictions/phase6/hancock__original__seed29.csv,PARSED_CSV,rows=152; columns=68
results/predictions/phase6/hancock__original__seed43.csv,PARSED_CSV,rows=152; columns=68
results/predictions/phase6/hancock__original__seed71.csv,PARSED_CSV,rows=152; columns=68
