study,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,B3,29,122.0,38.0,121.33108167594078,0.14161526501082947,0.6391483003361972,0.6639226648600677,0.6955776747929512,0.37495086434016195,1.2618093741540433,0.1406774471140711
HANCOCK,B3,43,122.0,38.0,121.33108167594078,0.14096460563078445,0.6428838251774375,0.6697886318592313,0.7024133165284393,0.3747197588079891,1.287918144441979,0.14174370524650298
HANCOCK,B3,71,122.0,38.0,121.33108167594078,0.1410182310385053,0.6425102726933134,0.6722955269731752,0.70853742127181,0.3751394870014221,1.3298647158933383,0.14039409757936516
HANCOCK,B3,101,122.0,38.0,121.33108167594078,0.14000647706957864,0.6559581621217782,0.6789715128309142,0.7162720086995095,0.35934182957870286,1.5103426859467282,0.14243252252108546
HANCOCK,B4,17,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896
HANCOCK,B4,29,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896
HANCOCK,B4,43,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896
HANCOCK,B4,71,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896
HANCOCK,B4,101,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896
HANCOCK,B5,17,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,B5,29,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,B5,43,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,B5,71,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,B5,101,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,M0,17,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261
HANCOCK,M0,29,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261
HANCOCK,M0,43,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261
HANCOCK,M0,71,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261
HANCOCK,M0,101,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261
HANCOCK,N0,17,122.0,38.0,121.33108167594078,0.15063948586283954,0.5315651849084796,0.5522202944038839,0.5542150619557124,0.37445569858536865,1.8461942508325406,0.13301472764651845
HANCOCK,N0,29,122.0,38.0,121.33108167594078,0.150873927921856,0.5336197235711617,0.5696244230938907,0.5834739539017161,0.38500483492903237,1.315889202520018,0.13332437884509046
HANCOCK,N0,43,122.0,38.0,121.33108167594078,0.15202908983886604,0.5166230855435189,0.497849008204183,0.47626160339680307,0.3727841661873065,-1.5452169988700446,0.13288008160997472
HANCOCK,N0,71,122.0,38.0,121.33108167594078,0.15197974147208387,0.4790810608890549,0.47370454690085384,0.4718474354426488,0.37241149867102497,-0.6291399653333336,0.13363012508960714
HANCOCK,N0,101,122.0,38.0,121.33108167594078,0.15076551882969144,0.5797534553604782,0.5514636157457575,0.5602703041888448,0.3789896089401423,2.414833210738322,0.13274614492976256
TCGA-HNSC,B0,17,104.0,44.0,107.37347592126233,0.23486419817135212,0.5,0.5,0.5,0.05369972513296265,,0.3373557699232651
TCGA-HNSC,B0,29,104.0,44.0,107.37347592126233,0.23486419817135212,0.5,0.5,0.5,0.05369972513296265,,0.3373557699232651
TCGA-HNSC,B0,43,104.0,44.0,107.37347592126233,0.23486419817135212,0.5,0.5,0.5,0.05369972513296265,,0.3373557699232651
