study,model,partition,ipcw_brier_mean,harrell_c_mean,uno_c_mean,auc_horizon_mean,calibration_in_the_large_mean,calibration_slope_mean,mean_predicted_risk_mean,ipcw_brier_sd,harrell_c_sd,uno_c_sd,auc_horizon_sd,calibration_in_the_large_sd,calibration_slope_sd,mean_predicted_risk_sd,successful_seeds
RADCURE,B3,calibration,0.1380281904830236,0.7524669437098602,0.7699599433458435,0.7969198526699901,0.047082131349381946,1.6229623285159867,0.19778208778216125,0.0004405808636675859,0.0009142893705202633,0.0016364444953713127,0.002169856936851675,0.007611085314756582,0.04240315027699332,0.0011129855832219741,5
RADCURE,B3,oof,0.13672387841700995,0.7424136933915847,0.77868939459773,0.8062849449157967,0.005400966623696726,1.9247108598057696,0.20671167554768566,0.00020095388965579925,0.0012953746377286233,0.0018224103185368848,0.0022330049044037353,0.008743496841122292,0.020098050098165683,0.0013099402202039628,5
RADCURE,M0,calibration,0.16256150443319659,0.563883641858708,0.5804824113810798,0.5931695037111981,-0.015480870328188099,25.583015765242372,0.20756038269800486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
RADCURE,M0,oof,0.1647717693723384,0.5031622032982674,0.4884992082842503,0.48732338647452955,0.00048529113374889255,-3.0113825645926657,0.20755986109577318,0.0001697682858496853,0.004113464018931988,0.005136361640041418,0.0060966367146849,0.0010345333846911709,0.923997880120001,0.00016484824673194804,5
TCGA-HNSC,B0,calibration,0.23486419817135212,0.5,0.5,0.5,0.05369972513296265,,0.3373557699232651,0.0,0.0,0.0,0.0,0.0,,0.0,5
TCGA-HNSC,B0,oof,0.22395053076328902,0.48183614360448146,0.4744920347284888,0.4604368446109787,-0.002516943158695749,-4.927330365635994,0.3373859571110277,0.0007241431146475084,0.023283723268510047,0.024524970579320828,0.02713055551679911,0.0006437186070813237,1.1619304172748404,5.510884649348141e-05,5
TCGA-HNSC,B1,calibration,0.2515425939033066,0.5971438645980254,0.5855713961016721,0.5741087322087078,-0.013373134501552591,0.08528282846828256,0.33843929577196735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
TCGA-HNSC,B1,oof,0.23856833575711867,0.5554974292193359,0.5420741056153748,0.5240617409037911,0.012267617317685496,0.008230007318028235,0.3264423301595937,0.0019507116410522741,0.011940679738424127,0.0107628861440996,0.007491360860419718,0.011743142751889089,0.026055744023049963,0.0025714710255628696,5
TCGA-HNSC,B2,calibration,0.2422342814831266,0.4897743300423131,0.4610972889812611,0.4368021697926963,0.06823441320275524,-0.6438354328494704,0.3330177162914441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
TCGA-HNSC,B2,oof,0.22070553272994778,0.5728260625519208,0.5697431698309771,0.5638046796182594,-0.015177275488155275,0.7747931285369881,0.33780090201788004,0.0016406965652372213,0.006814111193602869,0.007440570824683012,0.011326413653447479,0.00567140724811728,0.22821065800330415,0.0017080206180549462,5
