study,model,seed,partition,threshold,net_benefit_model,net_benefit_all,net_benefit_none
RADCURE,B1,101,calibration,0.4,0.018654690253925917,-0.32525642712879516,0.0
RADCURE,B1,101,calibration,0.45,0.01706277117755709,-0.4457342841405037,0.0
RADCURE,B1,101,calibration,0.5,0.0032509566112103525,-0.5903077125545542,0.0
RADCURE,B2,17,oof,0.05,0.1660233382842498,0.165936220030519,0.0
RADCURE,B2,17,oof,0.1,0.12538162653591467,0.11959934336554782,0.0
RADCURE,B2,17,oof,0.15,0.10129010161462211,0.06781106944587417,0.0
RADCURE,B2,17,oof,0.2,0.07958730177098475,0.009549261286241312,0.0
RADCURE,B2,17,oof,0.25,0.05647973382277559,-0.056480787961342566,0.0
RADCURE,B2,17,oof,0.3,0.027469556124529684,-0.1319437013871528,0.0
RADCURE,B2,17,oof,0.35,0.014530114106090154,-0.21901629380154916,0.0
RADCURE,B2,17,oof,0.4,0.0027195344296120257,-0.3206009849516783,0.0
RADCURE,B2,17,oof,0.45,-0.002038787736599509,-0.4406556199472853,0.0
RADCURE,B2,17,oof,0.5,-0.002483236070790669,-0.584721181942014,0.0
RADCURE,B2,17,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B2,17,calibration,0.1,0.12210818851602931,0.11649571524746996,0.0
RADCURE,B2,17,calibration,0.15,0.10752296567790642,0.06452487496790937,0.0
RADCURE,B2,17,calibration,0.2,0.07916667942917077,0.0060576796534037025,0.0
RADCURE,B2,17,calibration,0.25,0.057164255332153815,-0.060205141703036036,0.0
RADCURE,B2,17,calibration,0.3,0.02965261206938414,-0.1359340803961101,0.0
RADCURE,B2,17,calibration,0.35,0.023086991361381,-0.22331362504196467,0.0
RADCURE,B2,17,calibration,0.4,0.012096529973822372,-0.32525642712879516,0.0
RADCURE,B2,17,calibration,0.45,0.014409735312919909,-0.4457342841405037,0.0
RADCURE,B2,17,calibration,0.5,0.00991276775908449,-0.5903077125545542,0.0
RADCURE,B2,29,oof,0.05,0.16611021943403007,0.165936220030519,0.0
RADCURE,B2,29,oof,0.1,0.12418942409170779,0.11959934336554782,0.0
RADCURE,B2,29,oof,0.15,0.10051318266469608,0.06781106944587417,0.0
RADCURE,B2,29,oof,0.2,0.08226106613819467,0.009549261286241312,0.0
RADCURE,B2,29,oof,0.25,0.05675010689512777,-0.056480787961342566,0.0
RADCURE,B2,29,oof,0.3,0.03088429863717862,-0.1319437013871528,0.0
RADCURE,B2,29,oof,0.35,0.012439640152169848,-0.21901629380154916,0.0
