study,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,N0,43,489.0,135.0,488.8486702563916,0.11646959910487645,0.49287410926365793,0.5084823038807289,0.5078009754316102,0.0011498011193532304,-1.3974480465251355,0.13299296480519518
HANCOCK,N0,71,489.0,135.0,488.8486702563916,0.11571029538387624,0.5209387586491789,0.5048332308093404,0.5037194721386591,-0.007496023552372312,0.06825933801815197,0.13364261147311318
HANCOCK,N0,101,489.0,135.0,488.8486702563916,0.11511944653878801,0.5032531240318083,0.5352777127374296,0.543907044713015,0.0060330883555572475,0.9080415583484761,0.13260642091843722
TCGA-HNSC,B0,17,415.0,177.0,414.646498814596,0.22478790506261467,0.4772783403309459,0.4565670459053515,0.43499320117852236,-0.002417002811543039,-3.8969562260372363,0.3373519272096515
TCGA-HNSC,B0,29,415.0,177.0,414.646498814596,0.22377763498652295,0.4736859830710164,0.4681796868166503,0.4614009674651075,-0.0016507769343286276,-3.8662002208793975,0.3374059336333764
TCGA-HNSC,B0,43,415.0,177.0,414.646498814596,0.2232733231273517,0.4913334381104201,0.4929847098596274,0.4890383428674451,-0.002432708867649263,-6.705319705045256,0.3373976085940579
TCGA-HNSC,B0,71,415.0,177.0,414.646498814596,0.224630598940955,0.4519297694155684,0.4483276115346575,0.4312703342486066,-0.0034535496115005396,-5.117771849773655,0.337314866280083
TCGA-HNSC,B0,101,415.0,177.0,414.646498814596,0.2232831916990007,0.5149531870944566,0.5064011195261572,0.4854813772952121,-0.0026306775684572753,-5.050403826444424,0.3374594498379695
TCGA-HNSC,B1,17,415.0,177.0,414.646498814596,0.23659231273609663,0.5385504838456184,0.5280914438712211,0.5174771956885895,0.01507710443386727,-0.012824060704026958,0.3281163646320261
TCGA-HNSC,B1,29,415.0,177.0,414.646498814596,0.23643679526115768,0.5719145018972137,0.5563729721345055,0.5358594452960215,0.021720806662413696,0.0495402253446905,0.324647854821719
TCGA-HNSC,B1,43,415.0,177.0,414.646498814596,0.23972795654502774,0.5565459484945778,0.5390054376013151,0.5182451630189796,0.009731893054280396,-0.009967167674543753,0.3273573859911209
TCGA-HNSC,B1,71,415.0,177.0,414.646498814596,0.24077819713446869,0.5577246907204921,0.5484594144502475,0.5263540846023199,0.021557107393120944,0.017983432821275323,0.3229406478488983
TCGA-HNSC,B1,101,415.0,177.0,414.646498814596,0.2393064171088425,0.5527515211387772,0.5384412600195848,0.5223728159130454,-0.006748824955254829,-0.003582393197253934,0.3291493975042041
TCGA-HNSC,B2,17,415.0,177.0,414.646498814596,0.22105145700322007,0.5766856013830576,0.5732930751117962,0.5690382287880034,-0.019379489576513278,0.7172658248114199,0.33884749565705446
TCGA-HNSC,B2,29,415.0,177.0,414.646498814596,0.21936098191514325,0.5741821774175442,0.5736786515186368,0.5729753520647576,-0.013756503020929761,0.9624189434333168,0.3381409092379037
TCGA-HNSC,B2,43,415.0,177.0,414.646498814596,0.22106159830183578,0.565785042322459,0.5602606827628837,0.5517413178538157,-0.01974273748980812,0.738724123794591,0.33894303182217367
TCGA-HNSC,B2,71,415.0,177.0,414.646498814596,0.22308919477366668,0.566065695233391,0.5636196847863992,0.5513782556118669,-0.0059743434417774,0.44134702798712183,0.3348107506771694
TCGA-HNSC,B2,101,415.0,177.0,414.646498814596,0.218964431655873,0.5814117964031523,0.5778637549751694,0.5738902437728532,-0.01703330391174782,1.014209722658491,0.3382623226950991
TCGA-HNSC,B3,17,415.0,177.0,414.646498814596,0.22090716576863992,0.5932553492444823,0.5861237619851448,0.5775700128484503,-0.014174558759283341,0.8659749869337692,0.3376129351885174
TCGA-HNSC,B3,29,415.0,177.0,414.646498814596,0.2204692873893501,0.599261321538427,0.5906786692884257,0.5778173017295682,-0.01520819469599029,1.0062941840306998,0.337674444709999
TCGA-HNSC,B3,43,415.0,177.0,414.646498814596,0.22326484698545795,0.5729922090751925,0.5586342507582638,0.5427509987902597,-0.007849178916234233,0.4710027650253026,0.336797084399075
TCGA-HNSC,B3,71,415.0,177.0,414.646498814596,0.22143818648997848,0.6020678506477469,0.5932981920467904,0.5844059159370074,-0.01484557176231341,0.7660134632687843,0.3362891707937565
TCGA-HNSC,B3,101,415.0,177.0,414.646498814596,0.22076935436552786,0.5942320213745257,0.5795387607850098,0.5679526905963909,-0.00834166115217274,0.9769986433917452,0.3361350366034974
TCGA-HNSC,B4,17,415.0,177.0,414.646498814596,0.2310950307823645,0.5752262062462112,0.578377730352454,0.6035766924727799,-0.11509085235238511,0.333370359318109,0.35777017854708015
TCGA-HNSC,B4,29,415.0,177.0,414.646498814596,0.22380143261672872,0.5832641056153034,0.5860456433061945,0.6183055426634334,-0.0874314578879479,0.4451742834357364,0.3547243010102128
TCGA-HNSC,B4,43,415.0,177.0,414.646498814596,0.238768741691162,0.5622039111789667,0.5655835518126399,0.5854703257047443,-0.1378289438941123,0.2838796870568098,0.3605457783998771
TCGA-HNSC,B4,71,415.0,177.0,414.646498814596,0.22853567545482295,0.5816250926154606,0.5846957136940454,0.6055908710760292,-0.14248302118458595,0.3893431934137494,0.3609084590979515
TCGA-HNSC,B4,101,415.0,177.0,414.646498814596,0.22044363188815425,0.606524618873347,0.6052787574337406,0.630522958894823,-0.10547473418225155,0.4962135485830221,0.35823336602652284
