study,split_role,variable,level,statistic,value,n_observed,n_missing,percent_observed
TCGA-HNSC,calibration,treatment,Yes,count_percent_observed,2,104,0,1.9230769230769231
TCGA-HNSC,train,age,,mean,61.028915662650604,415,1,
TCGA-HNSC,train,age,,sd,12.146414851671612,415,1,
TCGA-HNSC,train,age,,median,61.0,415,1,
TCGA-HNSC,train,age,,q1,53.0,415,1,
TCGA-HNSC,train,age,,q3,69.0,415,1,
TCGA-HNSC,train,sex,female,count_percent_observed,108,416,0,25.96153846153846
TCGA-HNSC,train,sex,male,count_percent_observed,308,416,0,74.03846153846153
TCGA-HNSC,train,site,Anterior floor of mouth,count_percent_observed,2,416,0,0.4807692307692308
TCGA-HNSC,train,site,"Base of tongue, NOS",count_percent_observed,19,416,0,4.5673076923076925
TCGA-HNSC,train,site,Cheek mucosa,count_percent_observed,13,416,0,3.125
TCGA-HNSC,train,site,"Floor of mouth, NOS",count_percent_observed,41,416,0,9.85576923076923
TCGA-HNSC,train,site,"Gum, NOS",count_percent_observed,7,416,0,1.6826923076923077
TCGA-HNSC,train,site,Hard palate,count_percent_observed,2,416,0,0.4807692307692308
TCGA-HNSC,train,site,"Hypopharynx, NOS",count_percent_observed,8,416,0,1.9230769230769231
TCGA-HNSC,train,site,"Larynx, NOS",count_percent_observed,95,416,0,22.83653846153846
TCGA-HNSC,train,site,"Lip, NOS",count_percent_observed,2,416,0,0.4807692307692308
TCGA-HNSC,train,site,Lower gum,count_percent_observed,1,416,0,0.2403846153846154
TCGA-HNSC,train,site,"Mouth, NOS",count_percent_observed,18,416,0,4.326923076923077
TCGA-HNSC,train,site,"Oropharynx, NOS",count_percent_observed,7,416,0,1.6826923076923077
TCGA-HNSC,train,site,"Overlapping lesion of lip, oral cavity and pharynx",count_percent_observed,59,416,0,14.182692307692308
TCGA-HNSC,train,site,Posterior wall of oropharynx,count_percent_observed,1,416,0,0.2403846153846154
TCGA-HNSC,train,site,Retromolar area,count_percent_observed,1,416,0,0.2403846153846154
TCGA-HNSC,train,site,Supraglottis,count_percent_observed,1,416,0,0.2403846153846154
TCGA-HNSC,train,site,"Tongue, NOS",count_percent_observed,106,416,0,25.48076923076923
TCGA-HNSC,train,site,"Tonsil, NOS",count_percent_observed,31,416,0,7.451923076923077
TCGA-HNSC,train,site,Upper Gum,count_percent_observed,1,416,0,0.2403846153846154
TCGA-HNSC,train,site,"Ventral surface of tongue, NOS",count_percent_observed,1,416,0,0.2403846153846154
TCGA-HNSC,train,stage,Stage I,count_percent_observed,19,416,0,4.5673076923076925
TCGA-HNSC,train,stage,Stage II,count_percent_observed,70,416,0,16.826923076923077
TCGA-HNSC,train,stage,Stage III,count_percent_observed,76,416,0,18.26923076923077
TCGA-HNSC,train,stage,Stage IVA,count_percent_observed,238,416,0,57.21153846153846
TCGA-HNSC,train,stage,Stage IVB,count_percent_observed,10,416,0,2.4038461538461537
TCGA-HNSC,train,stage,Stage IVC,count_percent_observed,3,416,0,0.7211538461538461
TCGA-HNSC,train,treatment,No,count_percent_observed,408,416,0,98.07692307692308
TCGA-HNSC,train,treatment,Yes,count_percent_observed,8,416,0,1.9230769230769231
