candidate,beta,alpha,seed,outer_fold,fit_ipcw_brier,effective_slope
fixed_beta_0.825,0.825,-0.4043237173411689,29,2,0.1296051462593515,0.825
fixed_beta_0.850,0.85,-0.3727332585203564,29,2,0.1299025229709072,0.85
fixed_beta_0.875,0.875,-0.3413619768168914,29,2,0.13020808567488634,0.875
fixed_beta_0.900,0.9,-0.31020519725120527,29,2,0.1305210029242227,0.9
fixed_beta_0.925,0.925,-0.2792606391525907,29,2,0.13084048064170717,0.925
fixed_beta_0.950,0.95,-0.2485280466968373,29,2,0.13116576471016964,0.95
fixed_beta_0.975,0.975,-0.21800873378432914,29,2,0.1314961427570172,0.975
fixed_beta_1.000,1.0,-0.187705669774922,29,2,0.1318309451948581,1.0
fixed_beta_1.025,1.025,-0.15762315882798178,29,2,0.13216954558930036,1.025
fixed_beta_0.800,0.8,-0.27126914886618736,29,3,0.13104035938235403,0.8
fixed_beta_0.825,0.825,-0.23305174647386057,29,3,0.13121378058857763,0.825
fixed_beta_0.850,0.85,-0.19497032028808217,29,3,0.1313956389531062,0.85
fixed_beta_0.875,0.875,-0.15702402589264502,29,3,0.1315852457512971,0.875
fixed_beta_0.900,0.9,-0.11921382210793488,29,3,0.13178194515572716,0.9
fixed_beta_0.925,0.925,-0.08154185927679863,29,3,0.1319851167383746,0.925
fixed_beta_0.950,0.95,-0.04401159223635976,29,3,0.1321941771326528,0.95
fixed_beta_0.975,0.975,-0.006627266376354248,29,3,0.1324085809288786,0.975
fixed_beta_1.000,1.0,0.030606176142866582,29,3,0.132627820887475,1.0
fixed_beta_1.025,1.025,0.06768333421344715,29,3,0.13285142756051255,1.025
fixed_beta_0.800,0.8,-0.29025334611564874,29,4,0.13538806562325714,0.8
fixed_beta_0.825,0.825,-0.25464988840021735,29,4,0.1356519772805455,0.825
fixed_beta_0.850,0.85,-0.2192094502164643,29,4,0.13592537256941492,0.85
fixed_beta_0.875,0.875,-0.1839305848240231,29,4,0.13620741211983306,0.875
fixed_beta_0.900,0.9,-0.1488139493944958,29,4,0.13649729758421608,0.9
fixed_beta_0.925,0.925,-0.11386195668572308,29,4,0.13679427433820673,0.925
