candidate,beta,alpha,fit_ipcw_brier,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
fixed_beta_0.825,0.825,-0.18165490441376442,0.12838212938045268,17,1,True,0.11663494349976604,0.11713455541305454,0.0004996119132884974,-0.18411882526466739,-0.27835536352355306,0.09423653825888567,0.7179363254886001,0.8702255371246921,-0.152289211636092,95,14
fixed_beta_0.850,0.85,-0.14278145604669845,0.12829605132300909,17,1,True,0.11663494349976604,0.11716785560392204,0.0005329121041559998,-0.18411882526466739,-0.2774681453950688,0.09334932013040143,0.7179363254886001,0.8446308874556305,-0.12669456196703044,95,14
fixed_beta_0.875,0.875,-0.10416452231149212,0.1282175909294554,17,1,True,0.11663494349976604,0.11720586721145237,0.0005709237116863358,-0.18411882526466739,-0.2764416720245926,0.09232284675992519,0.7179363254886001,0.8204984654094595,-0.10256213992085939,95,14
fixed_beta_0.900,0.9,-0.06579780819933533,0.12814668151910458,17,1,True,0.11663494349976604,0.1172485409444323,0.0006135974446662557,-0.18411882526466739,-0.2752814232496327,0.09116259798496529,0.7179363254886001,0.7977067753521974,-0.07977044986359727,95,14
fixed_beta_0.925,0.925,-0.027675122885915022,0.12808324741171864,17,1,True,0.11663494349976604,0.11729582321659887,0.0006608797168328323,-0.18411882526466739,-0.27399275436872617,0.08987392910405878,0.7179363254886001,0.7761466476745454,-0.05821032218594535,95,14
fixed_beta_0.950,0.95,0.01020963383972523,0.1280272044515162,17,1,True,0.11663494349976604,0.11734765656978605,0.0007127130700200074,-0.18411882526466739,-0.2725809106120588,0.08846208534739142,0.7179363254886001,0.7557217955854733,-0.037785470096873164,95,14
fixed_beta_0.975,0.975,0.04786236704236801,0.1279784605466608,17,1,True,0.11663494349976604,0.11740397874153778,0.0007690352417717428,-0.18411882526466739,-0.2710509235259073,0.08693209826123993,0.7179363254886001,0.7363445780527168,-0.01840825256411671,95,14
fixed_beta_1.000,1.0,0.08528893233814587,0.12793691621976316,17,1,True,0.11663494349976604,0.11746472459325626,0.0008297810934902172,-0.18411882526466739,-0.2694077576028132,0.08528893233814583,0.7179363254886001,0.7179361434262629,1.8206233720619025e-07,95,14
fixed_beta_1.025,1.025,0.12249500290465512,0.12790246516511083,17,1,True,0.11663494349976604,0.11752982484430512,0.000894881344539078,-0.18411882526466739,-0.26765617823731147,0.08353735297264409,0.7179363254886001,0.7004255825941608,0.017510742894439324,95,14
fixed_beta_0.800,0.8,-0.2398095615637859,0.12923387870505065,17,2,True,0.11454584388648568,0.11578312738731902,0.0012372835008333388,-0.14437696888776075,-0.22521986103565672,0.08084289214789597,1.5502376045105999,1.9377969737917562,0.3875593692811563,105,16
