candidate,gamma,seed,outer_fold,alpha_brier,beta_brier,beta_effective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
brier_full_shrinkage_g0.10,0.1,29,1,-0.2474796427981074,0.8091312885756604,0.9809131288575661,0.15477786124894807,0.15399346792331856,-0.0007843933256295177,-0.10152230352259757,-0.10286824278510155,0.0013459392625039812,0.23498066694136316,0.23938776385256746,-0.004407096911204222,95,16
brier_full_shrinkage_g0.25,0.25,29,1,-0.2474796427981074,0.8091312885756604,0.9522828221439151,0.15477786124894807,0.15281481408298356,-0.0019630471659645155,-0.10152230352259757,-0.10504456557108233,0.003522262048484756,0.23498066694136316,0.2464701496791318,-0.01148948273776862,95,16
brier_full_shrinkage_g0.50,0.5,29,1,-0.2474796427981074,0.8091312885756604,0.9045656442878303,0.15477786124894807,0.1508509580044398,-0.003926903244508284,-0.10152230352259757,-0.1091178716647157,0.007595568142118134,0.23498066694136316,0.25975209714766234,-0.024771430206299128,95,16
brier_full_shrinkage_g0.75,0.75,29,1,-0.2474796427981074,0.8091312885756604,0.8568484664317453,0.15477786124894807,0.14889885951727466,-0.005879001731673411,-0.10152230352259757,-0.11379655893951075,0.012274255416913182,0.23498066694136316,0.27405747880707026,-0.039076811865706995,95,16
brier_full_shrinkage_g1.00,1.0,29,1,-0.2474796427981074,0.8091312885756604,0.8091312885756604,0.15477786124894807,0.14697287327358124,-0.007804987975366828,-0.10152230352259757,-0.11914283717871016,0.01762053365611259,0.23498066694136316,0.29015442387256346,-0.0551737569312003,95,16
brier_full_shrinkage_g0.10,0.1,29,2,-0.5003716301382413,0.75,0.975,0.13434832412190317,0.13467226528991225,0.00032394116800907313,0.277854980440106,0.2840994837984815,0.006244503358375508,2.089735580171066,2.1440915050179576,0.05435592484689167,106,20
brier_full_shrinkage_g0.25,0.25,29,2,-0.5003716301382413,0.75,0.9375,0.13434832412190317,0.13516642596685127,0.0008181018449480992,0.277854980440106,0.2933216855427858,0.015466705102679834,2.089735580171066,2.2312022314208653,0.1414666512497993,106,20
brier_full_shrinkage_g0.50,0.5,29,2,-0.5003716301382413,0.75,0.875,0.13434832412190317,0.13600999977923528,0.0016616756573321068,0.277854980440106,0.3083012268689656,0.030446246428859625,2.089735580171066,2.3879386235569906,0.2982030433859246,106,20
brier_full_shrinkage_g0.75,0.75,29,2,-0.5003716301382413,0.75,0.8125,0.13434832412190317,0.13687532055242682,0.002526996430523648,0.277854980440106,0.32278388244055517,0.04492890200044919,2.089735580171066,2.571815826971923,0.4820802468008569,106,20
brier_full_shrinkage_g1.00,1.0,29,2,-0.5003716301382413,0.75,0.75,0.13434832412190317,0.13775880245304897,0.0034104783311458,0.277854980440106,0.33676060826591486,0.05890562782580888,2.089735580171066,2.7862336586094476,0.6964980784383816,106,20
