study,seed,subgroup_variable,subgroup,parent_n,coverage,b7_ipcw_brier,b2_ipcw_brier,brier_regret_vs_b2,flag_threshold,flagged
TCGA-HNSC,29,stage_group,advanced,83,0.927710843373494,0.24970677598900465,0.2583763561517533,-0.008669580162748658,0.03,False
TCGA-HNSC,43,age_group,>=65,34,0.8235294117647058,0.2646977076197156,0.23495741718938146,0.02974029043033416,0.03,False
TCGA-HNSC,43,age_group,<65,70,0.9428571428571428,0.213537573553226,0.24576875842580295,-0.03223118487257695,0.03,False
TCGA-HNSC,43,hpv_group,unknown,104,0.9038461538461539,0.22877676242409525,0.24223428148312662,-0.013457519059031364,0.03,False
TCGA-HNSC,43,natural_modality_missingness,complete,104,0.9038461538461539,0.22877676242409525,0.24223428148312662,-0.013457519059031364,0.03,False
TCGA-HNSC,43,sex,male,76,0.9210526315789473,0.21980190940340352,0.22824786283162588,-0.008445953428222353,0.03,False
TCGA-HNSC,43,sex,female,28,0.8571428571428571,0.2549534170677796,0.28019741782291446,-0.025244000755134888,0.03,False
TCGA-HNSC,43,site_group,other,100,0.91,0.22981367563787441,0.24342066440002907,-0.01360698876215466,0.03,False
TCGA-HNSC,43,stage_group,advanced,83,0.891566265060241,0.25081048315795734,0.2583763561517533,-0.0075658729937959635,0.03,False
TCGA-HNSC,71,age_group,>=65,34,0.7647058823529411,0.27284691856317056,0.23495741718938146,0.0378895013737891,0.03,True
TCGA-HNSC,71,age_group,<65,70,0.9714285714285714,0.21417297352103523,0.24576875842580295,-0.03159578490476772,0.03,False
TCGA-HNSC,71,hpv_group,unknown,104,0.9038461538461539,0.23040193704332798,0.24223428148312662,-0.011832344439798637,0.03,False
TCGA-HNSC,71,natural_modality_missingness,complete,104,0.9038461538461539,0.23040193704332798,0.24223428148312662,-0.011832344439798637,0.03,False
TCGA-HNSC,71,sex,male,76,0.9342105263157895,0.22754263199534228,0.22824786283162588,-0.0007052308362835991,0.03,False
TCGA-HNSC,71,sex,female,28,0.8214285714285714,0.23922848740884922,0.28019741782291446,-0.04096893041406524,0.03,False
TCGA-HNSC,71,site_group,other,100,0.9,0.23802727174418353,0.24342066440002907,-0.005393392655845541,0.03,False
TCGA-HNSC,71,stage_group,advanced,83,0.9397590361445783,0.23426407337036273,0.2583763561517533,-0.024112282781390576,0.03,False
TCGA-HNSC,101,age_group,>=65,34,0.7941176470588235,0.26476721264634606,0.23495741718938146,0.029809795456964605,0.03,False
TCGA-HNSC,101,age_group,<65,70,0.9571428571428572,0.2193654542493331,0.24576875842580295,-0.026403304176469855,0.03,False
TCGA-HNSC,101,hpv_group,unknown,104,0.9038461538461539,0.23240638485273044,0.24223428148312662,-0.009827896630396182,0.03,False
TCGA-HNSC,101,natural_modality_missingness,complete,104,0.9038461538461539,0.23240638485273044,0.24223428148312662,-0.009827896630396182,0.03,False
TCGA-HNSC,101,sex,male,76,0.9210526315789473,0.23099845097516974,0.22824786283162588,0.0027505881435438695,0.03,False
TCGA-HNSC,101,sex,female,28,0.8571428571428571,0.23651285866228253,0.28019741782291446,-0.043684559160631936,0.03,False
TCGA-HNSC,101,site_group,other,100,0.91,0.238310328815919,0.24342066440002907,-0.005110335584110087,0.03,False
TCGA-HNSC,101,stage_group,advanced,83,0.9036144578313253,0.2523831682485669,0.2583763561517533,-0.0059931879031864255,0.03,False
