study,seed,subgroup_variable,subgroup,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,71,site_group,other,B6,122,1.0,122.0,38.0,121.33108167594078,0.12914449192290395,0.6772506537168472,0.744574932813108,0.7742528734075641,0.3843828619596679,2.4919374079189973,0.14113976488491656
HANCOCK,71,site_group,other,B7_full_equal_weight_90,122,0.9016393442622951,110.0,32.0,112.19550883131251,0.12794390176510462,0.6210898082744702,0.6709574369457166,0.6829755227667207,0.2573417631388321,1.3938309858364633,0.12288433794684628
HANCOCK,71,stage_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,71,stage_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12914449192290395,0.6772506537168472,0.744574932813108,0.7742528734075641,0.3843828619596679,2.4919374079189973,0.14113976488491656
HANCOCK,71,stage_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,32.0,112.19550883131251,0.12794390176510462,0.6210898082744702,0.6709574369457166,0.6829755227667207,0.2573417631388321,1.3938309858364633,0.12288433794684628
HANCOCK,71,hpv_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,71,hpv_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12914449192290395,0.6772506537168472,0.744574932813108,0.7742528734075641,0.3843828619596679,2.4919374079189973,0.14113976488491656
HANCOCK,71,hpv_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,32.0,112.19550883131251,0.12794390176510462,0.6210898082744702,0.6709574369457166,0.6829755227667207,0.2573417631388321,1.3938309858364633,0.12288433794684628
HANCOCK,71,natural_modality_missingness,complete,B2,86,1.0,86.0,25.0,86.00897189225475,0.15549053200881235,0.5924242424242424,0.6076860893897195,0.6503398367452526,0.41519107938153643,2.4216798648840276,0.13990965124843796
HANCOCK,71,natural_modality_missingness,complete,B6,86,1.0,86.0,25.0,86.00897189225475,0.1409903772214058,0.7128787878787879,0.7858815600810553,0.8245739068498578,0.4708685757290577,3.0829941903327427,0.1428997409705836
HANCOCK,71,natural_modality_missingness,complete,B7_full_equal_weight_90,86,0.8837209302325582,76.0,21.0,79.1124695172849,0.13330187089619117,0.6199376947040498,0.6877431789195643,0.7061718578095438,0.2842493186298284,1.6634442582357416,0.12571307658039907
HANCOCK,71,natural_modality_missingness,missing,B2,36,1.0,36.0,13.0,35.322109783686,0.12341951801811102,0.7217391304347827,0.762092769950278,0.7538077668824325,0.22703304279002426,2.876313755884879,0.13204121757806597
HANCOCK,71,natural_modality_missingness,missing,B6,36,1.0,36.0,13.0,35.322109783686,0.10084598815426069,0.5695652173913044,0.5935577631593908,0.5939358848958253,0.14529974535547155,1.5584461543041712,0.13693537756915644
HANCOCK,71,natural_modality_missingness,missing,B7_full_equal_weight_90,36,0.9444444444444444,34.0,11.0,33.08303931402762,0.11596726488385238,0.6136363636363636,0.608938333028466,0.6006755533968647,0.18950774421927363,0.6368649860339948,0.11656127511890473
