study,seed,subgroup_variable,subgroup,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,101,sex,0,B2,91,1.0,91.0,28.0,88.9593227647629,0.14134533428831464,0.6201157742402316,0.6520199735218379,0.6795506110294908,0.3342308106389265,2.340405596222991,0.13782593418620745
HANCOCK,101,sex,0,B6,91,1.0,91.0,28.0,88.9593227647629,0.11721276388873685,0.7098408104196816,0.8145167596742668,0.84499435034804,0.33683134932469583,3.485501102604734,0.14567572412008178
HANCOCK,101,sex,0,B7_full_equal_weight_90,91,0.9120879120879121,83.0,25.0,81.86225605393234,0.12101534311657164,0.6496756255792401,0.7430635708217581,0.7520781378434745,0.2751450719119467,2.5859592307992774,0.1248973474010745
HANCOCK,101,sex,1,B2,31,1.0,31.0,10.0,32.3717589111779,0.15976977358623312,0.6767676767676768,0.6863155878573036,0.7040014910368972,0.44426358267458677,3.2120847525439475,0.13688883320100534
HANCOCK,101,sex,1,B6,31,1.0,31.0,10.0,32.3717589111779,0.1619088777458421,0.601010101010101,0.5310205294212523,0.5144148523248143,0.4735050973354992,0.9028647931687682,0.1315213566963884
HANCOCK,101,sex,1,B7_full_equal_weight_90,31,0.8709677419354839,27.0,6.0,28.140292113983293,0.07859341020032469,0.7191011235955056,0.5544346847481926,0.5016819262249766,-0.5857783365361956,-0.06761269826517471,0.1239703168286009
HANCOCK,101,age_group,<65,B2,73,1.0,73.0,24.0,75.43917997029078,0.15034343144657633,0.6284860557768924,0.6651827272918014,0.6859327707708914,0.424743223276966,2.6965168401427424,0.1270256045074011
HANCOCK,101,age_group,<65,B6,73,1.0,73.0,24.0,75.43917997029078,0.12724988361462822,0.6782868525896414,0.7444348323370912,0.7761047370665187,0.38009793004733133,2.7961958933340254,0.14111156588471271
HANCOCK,101,age_group,<65,B7_full_equal_weight_90,73,0.8904109589041096,65.0,20.0,67.51387860000513,0.11835373935399864,0.6175182481751825,0.686110160444017,0.6973783591279746,0.21114575711657754,2.532345014608248,0.11545541127086331
HANCOCK,101,age_group,>=65,B2,49,1.0,49.0,14.0,45.89190170565001,0.13959628379203648,0.675,0.7128223588832905,0.7649103663585478,0.27420009141355417,3.82534893898628,0.15332336145175027
HANCOCK,101,age_group,>=65,B6,49,1.0,49.0,14.0,45.89190170565001,0.13053663714547542,0.655,0.7194989363665157,0.7371800140204833,0.366773586147109,1.983441100853269,0.14352058454962147
HANCOCK,101,age_group,>=65,B7_full_equal_weight_90,49,0.9183673469387755,45.0,11.0,42.48866956791052,0.09940672213498443,0.6678832116788321,0.7223424792100605,0.7142403710629738,-0.08313121493794655,1.7761311131492128,0.13797948124567314
HANCOCK,101,site_group,other,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,101,site_group,other,B6,122,1.0,122.0,38.0,121.33108167594078,0.12856997314750948,0.6757564437803512,0.7409552516651307,0.7688790362672505,0.3748639726564616,2.439464592590494,0.1420791225616023
