study,seed,scenario,gate_variant,profile,action,count,rate,non_abstention_coverage
HANCOCK,17,row_permutation_negative_control,full_equal_weight,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,full_equal_weight,80,AUGMENT,79,0.6475409836065574,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,full_equal_weight,80,FALLBACK,19,0.1557377049180328,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,full_equal_weight,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,100,AUGMENT,121,0.9918032786885246,1.0
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,100,FALLBACK,1,0.00819672131147541,1.0
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,90,AUGMENT,98,0.8032786885245902,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,90,FALLBACK,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,80,AUGMENT,78,0.639344262295082,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,80,FALLBACK,20,0.16393442622950818,0.8032786885245902
HANCOCK,17,row_permutation_negative_control,full_learned_nonnegative,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,complete_modality_dropout,ood_only,100,AUGMENT,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,ood_only,100,FALLBACK,122,1.0,1.0
HANCOCK,17,complete_modality_dropout,ood_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,ood_only,90,AUGMENT,0,0.0,0.9016393442622951
HANCOCK,17,complete_modality_dropout,ood_only,90,FALLBACK,110,0.9016393442622951,0.9016393442622951
HANCOCK,17,complete_modality_dropout,ood_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,complete_modality_dropout,ood_only,80,AUGMENT,0,0.0,0.8032786885245902
HANCOCK,17,complete_modality_dropout,ood_only,80,FALLBACK,98,0.8032786885245902,0.8032786885245902
HANCOCK,17,complete_modality_dropout,ood_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,complete_modality_dropout,uncertainty_only,100,AUGMENT,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,uncertainty_only,100,FALLBACK,122,1.0,1.0
HANCOCK,17,complete_modality_dropout,uncertainty_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,uncertainty_only,90,AUGMENT,0,0.0,0.9016393442622951
HANCOCK,17,complete_modality_dropout,uncertainty_only,90,FALLBACK,110,0.9016393442622951,0.9016393442622951
HANCOCK,17,complete_modality_dropout,uncertainty_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,complete_modality_dropout,uncertainty_only,80,AUGMENT,0,0.0,0.8032786885245902
HANCOCK,17,complete_modality_dropout,uncertainty_only,80,FALLBACK,98,0.8032786885245902,0.8032786885245902
HANCOCK,17,complete_modality_dropout,uncertainty_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
