study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,b2_subset_ipcw_brier,b6_subset_ipcw_brier
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,ood_only,100,1.0,122.0,38.0,121.33108167594078,0.1339019045747898,0.6380276428838252,0.6958879745289042,0.7370814400849725,0.3953727588553695,2.951365506455476,0.13895740748027796,0.14602695410991687,0.1358872165310033
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,ood_only,90,0.9016393442622951,110.0,33.0,108.32042808439553,0.13576782203316742,0.6465302046929605,0.6812808898914802,0.714435564181116,0.37551690228219253,2.851589261091253,0.1337813440274362,0.14134650691015552,0.13122631028539888
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,ood_only,80,0.8032786885245902,98.0,25.0,96.64965492157674,0.12406827514640682,0.6612184249628529,0.6759736376987988,0.7086641744229558,0.25828324869181024,2.956672496336525,0.1286079769642882,0.12423962678582273,0.11491892792059323
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,uncertainty_only,100,1.0,122.0,38.0,121.33108167594078,0.1339019045747898,0.6380276428838252,0.6958879745289042,0.7370814400849725,0.3953727588553695,2.951365506455476,0.13895740748027796,0.14602695410991687,0.1358872165310033
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,uncertainty_only,90,0.9016393442622951,110.0,31.0,109.74866030637048,0.11010740426362293,0.6124197002141327,0.6602480838780906,0.6687166806747717,0.10300547266482298,2.72237176326838,0.12090191500085652,0.11218077934189863,0.1013382739903946
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,uncertainty_only,80,0.8032786885245902,98.0,28.0,98.80650945475632,0.1155190562377028,0.5906313645621182,0.6460243381928719,0.6536260547234466,0.15893065739471426,2.359826215997729,0.11821159960398452,0.11589536051095872,0.10717510383513873
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,full_equal_weight,100,1.0,122.0,38.0,121.33108167594078,0.1339019045747898,0.6380276428838252,0.6958879745289042,0.7370814400849725,0.3953727588553695,2.951365506455476,0.13895740748027796,0.14602695410991687,0.1358872165310033
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,full_equal_weight,90,0.9016393442622951,110.0,32.0,111.22735551040233,0.12009967835405072,0.6118935837245696,0.6621507460139447,0.6776602587712657,0.18130512114057704,2.425141020203017,0.12584892640537854,0.12004185909198678,0.1113943362815132
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,full_equal_weight,80,0.8032786885245902,98.0,28.0,98.8755275527463,0.11577261220508776,0.6044474393530997,0.6616439814718125,0.6660858500151131,0.16647604124385826,2.498098650013083,0.12064647859093183,0.11552081633580108,0.1117472369560508
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,full_learned_nonnegative,100,1.0,122.0,38.0,121.33108167594078,0.1339019045747898,0.6380276428838252,0.6958879745289042,0.7370814400849725,0.3953727588553695,2.951365506455476,0.13895740748027796,0.14602695410991687,0.1358872165310033
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,full_learned_nonnegative,90,0.9016393442622951,110.0,32.0,111.32222633952101,0.11564257153963237,0.6495547407019382,0.7301949688803238,0.7617935629725834,0.16423180932507345,3.9112189597916798,0.12684003947050604,0.12067865321142358,0.11169652022276884
